tissue,table,gene,genename,y0,A,x0,w,sumsquarevalue,rti_sigma_dist,rti,lti_sigma_dist,lti,min,max,mean,std,skew,kurt,left,right,maxheight,rightheight,leftheight,n_obs,fit_success
adipose_subcutaneous,excluded_at_or_below_-1,ENSG00000284388.1,MIR4496,,,,,,,,,,,,,,,,,,,,,0,False
adipose_subcutaneous,raw,ENSG00000284388.1,MIR4496,0.0,714.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,,,-1.0,-1.0,-1.0,0.0,,,,-1.0,5.83115986411798e-187,0.0,,714,True
adipose_visceral_omentum,excluded_at_or_below_-1,ENSG00000284388.1,MIR4496,,,,,,,,,,,,,,,,,,,,,0,False
adipose_visceral_omentum,raw,ENSG00000284388.1,MIR4496,0.0,587.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,,,-1.0,-1.0,-1.0,0.0,,,,-1.0,4.793964762237051e-187,0.0,,587,True
adrenal_gland,excluded_at_or_below_-1,ENSG00000284388.1,MIR4496,,,,,,,,,,,,,,,,,,,,,0,False
adrenal_gland,raw,ENSG00000284388.1,MIR4496,0.0,295.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,,,-1.0,-1.0,-1.0,0.0,,,,-1.0,2.409232716967513e-187,0.0,,295,True
artery_aorta,excluded_at_or_below_-1,ENSG00000284388.1,MIR4496,,,,,,,,,,,,,,,,,,,,,0,False
artery_aorta,raw,ENSG00000284388.1,MIR4496,0.0,472.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,,,-1.0,-1.0,-1.0,0.0,,,,-1.0,3.8547723471480207e-187,0.0,,472,True
artery_coronary,excluded_at_or_below_-1,ENSG00000284388.1,MIR4496,,,,,,,,,,,,,,,,,,,,,2,False
artery_coronary,raw,ENSG00000284388.1,MIR4496,0.05128205128205133,300.51322888213946,-0.9866159578983457,0.0036255609951359436,1.8974358974358985,451.981287184836,0.0,5.220680023016062,1.2155940286940605e-06,-1.0,0.1721098307293014,-0.9916894695147336,0.09615441128473662,11.494073402069436,130.48390911992914,-1.0,0.1721098307293014,298.2760836148663,0.0,0.00036258262614448367,268,True
artery_tibial,excluded_at_or_below_-1,ENSG00000284388.1,MIR4496,,,,,,,,,,,,,,,,,,,,,0,False
artery_tibial,raw,ENSG00000284388.1,MIR4496,0.0,691.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,,,-1.0,-1.0,-1.0,0.0,,,,-1.0,5.643321381100175e-187,0.0,,691,True
bladder,excluded_at_or_below_-1,ENSG00000284388.1,MIR4496,,,,,,,,,,,,,,,,,,,,,0,False
bladder,raw,ENSG00000284388.1,MIR4496,0.0,77.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,,,-1.0,-1.0,-1.0,0.0,,,,-1.0,6.288505735813509e-188,0.0,,77,True
brain_amygdala,excluded_at_or_below_-1,ENSG00000284388.1,MIR4496,,,,,,,,,,,,,,,,,,,,,0,False
brain_amygdala,raw,ENSG00000284388.1,MIR4496,0.0,181.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,,,-1.0,-1.0,-1.0,0.0,,,,-1.0,1.478207192444474e-187,0.0,,181,True
brain_anterior_cingulate_cortex_ba24,excluded_at_or_below_-1,ENSG00000284388.1,MIR4496,,,,,,,,,,,,,,,,,,,,,0,False
