tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000092607.15,duyu3y/qydVEZNNRNIAIEIIAEINAEAAAEAAAAAAE,15
uterus,raw,ENSG00000143178.13,GAALLXRXL0ou/ui0XoL0idRidoiLLGXGLALAGAAL,11
uterus,raw,ENSG00000112837.17,NmZmgmZmmN5mgmN/ggymymGNgTTNGGAGGGNAgAAN,10
uterus,raw,ENSG00000228290.8,/jJcaaLWJJHLJHEHEHJCEJCAACCCACAACAACAAAC,29
uterus,raw,ENSG00000164532.11,/AAAAAAAACABBAABAAAAAAAAAAAAAAAAAAAAAAAA,128
uterus,raw,ENSG00000167800.10,/IqKVQVNFFGDIGGCAADACDACAAAAAAAAAAAAAAAC,39
uterus,raw,ENSG00000089225.20,/aKLEDBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB,81
uterus,raw,ENSG00000255399.7,/VMFBDBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB,89
uterus,raw,ENSG00000135111.16,HEAEEAHHLLLeheea0p/WWPeTLPHLHHAHALEAAAEE,17
uterus,raw,ENSG00000257817.3,c8/25WsTZJQWDJANDTAAAADAAADDDAAAAAAAAAAD,20
uterus,raw,ENSG00000073861.3,LAGRdRiuX5/uouii5doRdiiXGLGGGRRLAAALAAGL,11
uterus,raw,ENSG00000267280.7,GAAGARGLLXRiLiXduu00oo/iRXd5dRRiLRGGGAAG,11
uterus,raw,ENSG00000121068.14,KKAKPKPFTTAFKPPYTYsPs1w/s1dAiKTKPFPKAAFF,13
uterus,raw,ENSG00000121075.11,/JLTNVNIIFDHEAFDBBAABAABABABABBAAAAAAAAB,47
uterus,raw,ENSG00000184058.16,GALLGGALARLXLdXoX5o5/iX5oid5LiRdGLXAAGAR,11
uterus,raw,ENSG00000122145.15,/ONFEDABBBBAAAABAAABAAAAAAAAAAAAAAAAAAAB,90
vagina,raw,ENSG00000092607.15,y/wrywhXIFIDFDFIDFFDDDDAAADAAAAAAAAAAAAD,25
vagina,raw,ENSG00000143178.13,IAYIIng/g/3nvQY/v3v/gv3ggYg//InggQvIQIQI,8
vagina,raw,ENSG00000112837.17,FFFaKKgqVAlKVQv6V0QaFg6lQvl/QKQQlKKFKAAF,12
vagina,raw,ENSG00000228290.8,66y/to/gyybSSWbbOWEEEWEJEAEEAAEAAAEAAEAE,14
vagina,raw,ENSG00000164532.11,/EAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,154
vagina,raw,ENSG00000167800.10,/AENPFHFOCJIEDDDADBABABBBBABAABACAAAAAAB,61
vagina,raw,ENSG00000089225.20,/lZPMOGFFFEABABBBCABBABAAAAACABBBAAAAABB,51
vagina,raw,ENSG00000255399.7,/bOMMMFDECCCFBBBBCABCACAAAAABAACAAAAAAAB,60
vagina,raw,ENSG00000135111.16,EAEAAAIAEIEAIYYMnrg/znUYnrzcjMUIIIEAAAAE,16
vagina,raw,ENSG00000257817.3,y66/S//gWWgJEbJJOOEJSOEbSJEJEOJJEEEAJJJE,14
vagina,raw,ENSG00000073861.3,GAGLLG5duouo500X0/000XiAiLLRLRALLRGAGGAG,11
vagina,raw,ENSG00000267280.7,GAGAmTmTTNNmZm5ss5NsgZmyg/GZygZTmTTTGNGZ,10
vagina,raw,ENSG00000121068.14,EAAEAOJAoOEJgOOWESS2yk/gbWbgWSbgSWEWOEEO,14
vagina,raw,ENSG00000121075.11,/4iOJOOGCICEADCAAACCCADCECACCAADCCAAAAAD,42
vagina,raw,ENSG00000184058.16,FFFAVKFQQKKaVQQlqlqg/gvglVlvlVVaQQQKFVAQ,12
vagina,raw,ENSG00000122145.15,/GAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,153
