gene,genename,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
ENSG00000290825.2,DDX11L16,1.4349683455124416,27.319168308692277,-0.9633049072808266,0.012237489705249321,215.41435092718453,18.282968103484286,0.0,-0.9937766713919476,-0.8050985091097104,-0.9509177943031911,0.027234074781803508,2.3559070971946268,7.477321950668355,-0.8050985091097104,27.317937864318502,0.0,183,True
ENSG00000223972.6,DDX11L1,,,,,,,,,,,,,,,,,0,False
ENSG00000310526.1,WASH7P,-0.0011914801164943788,39.52371622787056,0.4097963587640413,0.6191078722913385,443.5011656025294,3.2157537083623633,0.0,-0.6747390926025585,1.8175741436527773,0.4470031716332288,0.4290001807185914,0.26258510305299637,-0.14174623001708087,1.8175741436527773,39.29895024472849,0.0,691,True
ENSG00000243485.6,MIR1302-2HG,1.059018158767559,12.008598724190714,-0.9380768796008102,0.018073793569078105,118.97710354106604,12.635917001679486,0.0,-0.971415289411191,-0.7765885715258033,-0.9183251319366839,0.038137374690752866,1.5529040934643623,2.052324304591477,-0.7765885715258033,12.007627136259892,0.0,121,True
ENSG00000237613.3,FAM138A,1.751359099725548,25.06659667426983,-0.9632234335681451,0.01115903055813458,258.79761871729863,17.448677050181818,0.0,-0.9814697947976684,-0.8255424456448852,-0.9488550279429576,0.02851412541043234,2.068120751299226,4.366363185621613,-0.8255424456448852,25.066476166553084,0.0,196,True
ENSG00000308361.1,ENSG00000308361,0.34024333047812244,1.2364484297754368,-0.8024624882795828,0.025362489040592535,16.65993173517166,5.394376546730764,1.942594501321079e-07,-0.9009149023741037,-0.7057198040857551,-0.7968772986321189,0.05084512397857085,-0.15284888436610578,-0.12248303082489587,-0.7057198040857551,1.2364449711563852,2.401911202154494e-07,25,True
ENSG00000290826.2,ENSG00000290826,1.6285895287068366,28.588911268867125,-0.8969341406160303,0.03140747616645673,289.7092641549182,17.525682508357995,0.0,-0.9496835923661632,-0.5077160830841185,-0.8654997604311606,0.06382391171781848,2.033789428079746,5.766834288201522,-0.5077160830841185,28.585099888371275,0.0,208,True
ENSG00000268020.3,OR4G4P,2.0978433455011674,41.06817824993425,-0.9167522570393211,0.026203054027852998,596.498702987491,26.207615953953326,0.0,-0.9712130455817116,-0.4311681875227453,-0.8786595066214007,0.07249876302613133,2.7703491605004964,11.293566823734562,-0.4311681875227453,41.060160261517154,0.0,225,True
ENSG00000186092.7,OR4F5,0.6159592374206023,25776.359285471262,-1.6548172056996184,0.32434834984463595,239.63677636394766,11.380380392407467,0.0,-0.9859589916581386,0.9552607196510974,-0.9022965821818892,0.12889022624703225,7.388304506720509,86.78463545135094,0.9552607196510974,366.76045082548063,0.0,556,True
ENSG00000241860.8,ENSG00000241860,1.8073902008788356,43.7547402201985,-0.9160913190046174,0.0720823260653781,931.329118470263,5.123285634977403,0.0,-0.9951908656476618,-0.6549579545028553,-0.9001970030453895,0.05528100718243636,0.9551597072180421,1.2161164470428591,-0.6549579545028553,43.75447005477595,0.0,690,True
