gene,genename,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
ENSG00000290825.2,DDX11L16,0.10256410256410256,6.9864212097256795,-0.9995064725258892,7.112120975224812e-06,3.589743589743592,7739.914023110862,0.0,-1.0,-0.9605822206768032,-0.9903762579021369,0.014289625625449505,0.9849334975643294,-0.48242285036606836,-0.9605822206768032,3.6215452858812114e-09,0.0,11,True
ENSG00000223972.6,DDX11L1,0.0,11.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,-1.0,-1.0,-1.0,0.0,,,-1.0,8.983579622590726e-189,0.0,11,True
ENSG00000310526.1,WASH7P,0.1782321290473599,6898355843737.1875,6.863979436550668,1.0472629619204215,8.237186406621456,-7.586750641173582,1.0,-0.8970651127121874,1.2457877014250354,0.7141732609225931,0.6090936610323073,-1.7482859269213538,2.5607632641738345,1.2457877014250354,2.187833029989948,2.187833029989948,11,True
ENSG00000243485.6,MIR1302-2HG,0.05128205169434635,9.456418249052048,-0.9994461492479154,0.00022735442479736344,1.8974358976222585,298.74203941084653,0.0,-1.0,-0.9514192271902088,-0.9924721499738975,0.017053233870100028,1.7844582679049517,1.3927647059913344,-0.9514192271902088,9.421283591267205,0.0,11,True
ENSG00000237613.3,FAM138A,,,,,,,,,,,,,,,,,11,False
ENSG00000308361.1,ENSG00000308361,0.0,11.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,-1.0,-1.0,-1.0,0.0,,,-1.0,8.983579622590726e-189,0.0,11,True
ENSG00000290826.2,ENSG00000290826,0.12820512820512994,6.4417014056098,-0.9983770618202316,0.0007183720876035823,4.358974358989581,286.8368454197599,0.0,-1.0,-0.8526737614643425,-0.9651881320421183,0.04773872469807009,1.2265174033244857,0.6652021897555858,-0.8526737614643425,6.321150835741085,0.0,11,True
ENSG00000268020.3,OR4G4P,,,,,,,,,,,,,,,,,11,False
ENSG00000186092.7,OR4F5,0.03279629148823783,12.798522871381044,-1.248565509953236,0.19751130711342138,6.596788313955247,6.742079246168924,0.0,-1.0,-0.3069560387934728,-0.8858547884054265,0.19747677897074367,2.5745992193381055,5.158657249786865,-0.3069560387934728,2.6262027721922756,0.0,11,True
ENSG00000241860.8,ENSG00000241860,0.1811973659425982,0.7705241275714673,-0.9704131048511031,0.013772321489231217,8.130674026493434,17.241475247201226,0.0,-0.982709453740949,-0.8025069650919706,-0.91277333973514,0.06569789520913717,0.5221339066367983,-1.273210239711331,-0.8025069650919706,0.7705182476833337,0.0,11,True
ENSG00000308314.1,ENSG00000308314,0.0,11.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,-1.0,-1.0,-1.0,0.0,,,-1.0,8.983579622590726e-189,0.0,11,True
ENSG00000233750.3,CICP27,0.1842105280276914,9.71936397789735,-0.9929920689899568,0.002852670904004568,5.710526363423979,148.53308241705756,0.0,-1.0,-0.6933796103297218,-0.8858644872701166,0.12157693591444903,0.5886724146512741,-1.253610843946582,-0.6933796103297218,9.68940952019663,0.0,11,True
ENSG00000308579.1,ENSG00000308579,0.1360013310858457,0.22976740185853298,3.1837085041445117,1.7796168486970525,7.737444314327773,0.6465367975853821,0.7998649310373592,0.1771587828040881,3.9972969245206103,2.375164582803542,1.1410298840219038,-0.4185129540638556,-0.5981811117727154,3.9972969245206103,0.2165317683878792,0.17319616798896842,11,True
