gene,genename,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
ENSG00000290825.2,DDX11L16,,,,,,,,,,,,,,,,,4,False
ENSG00000223972.6,DDX11L1,,,,,,,,,,,,,,,,,0,False
ENSG00000310526.1,WASH7P,0.1782321290473599,6898355843737.1875,6.863979436550668,1.0472629619204215,8.237186406621456,-7.586750641173582,1.0,-0.8970651127121874,1.2457877014250354,0.7141732609225931,0.6090936610323073,-1.7482859269213538,2.5607632641738345,1.2457877014250354,2.187833029989948,2.187833029989948,11,True
ENSG00000243485.6,MIR1302-2HG,,,,,,,,,,,,,,,,,2,False
ENSG00000237613.3,FAM138A,,,,,,,,,,,,,,,,,5,False
ENSG00000308361.1,ENSG00000308361,,,,,,,,,,,,,,,,,0,False
ENSG00000290826.2,ENSG00000290826,,,,,,,,,,,,,,,,,5,False
ENSG00000268020.3,OR4G4P,,,,,,,,,,,,,,,,,6,False
ENSG00000186092.7,OR4F5,0.13157891440037991,11.663112325057616,-0.9713583259032301,0.006707512498036825,6.342106134875992,140.08273940262188,0.0,-0.9878132353574148,-0.3069560387934728,-0.8744402672459692,0.20429791429392533,2.4401454010394237,4.386032986725409,-0.3069560387934728,11.587285148519964,0.0,10,True
ENSG00000241860.8,ENSG00000241860,0.1811973659425982,0.7705241275714673,-0.9704131048511031,0.013772321489231217,8.130674026493434,17.241475247201226,0.0,-0.982709453740949,-0.8025069650919706,-0.91277333973514,0.06569789520913717,0.5221339066367983,-1.273210239711331,-0.8025069650919706,0.7705182476833337,0.0,11,True
ENSG00000308314.1,ENSG00000308314,,,,,,,,,,,,,,,,,0,False
ENSG00000233750.3,CICP27,,,,,,,,,,,,,,,,,8,False
ENSG00000308579.1,ENSG00000308579,0.1360013310858457,0.22976740185853298,3.1837085041445117,1.7796168486970525,7.737444314327773,0.6465367975853821,0.7998649310373592,0.1771587828040881,3.9972969245206103,2.375164582803542,1.1410298840219038,-0.4185129540638556,-0.5981811117727154,3.9972969245206103,0.2165317683878792,0.17319616798896842,11,True
ENSG00000268903.1,ENSG00000268903,,,,,,,,,,,,,,,,,8,False
ENSG00000269981.1,ENSG00000269981,0.21921478332297972,6327071610446.187,17.587334699489627,2.5644970567677716,8.976765734216722,-7.674977650787418,1.0,-0.5590265469513811,3.6697354627979832,2.186040673187779,1.2634165863663116,-0.7747593985579038,-0.01140640970233786,3.6697354627979832,1.0234892809258596,1.0234892809258596,11,True
ENSG00000239906.1,ENSG00000239906,,,,,,,,,,,,,,,,,1,False
ENSG00000222623.1,RNU6-1100P,,,,,,,,,,,,,,,,,0,False
ENSG00000241599.1,ENSG00000241599,,,,,,,,,,,,,,,,,0,False
ENSG00000308415.1,DDX11L2,,,,,,,,,,,,,,,,,8,False
