gene,genename,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
ENSG00000290825.2,DDX11L16,0.871233022033812,4.424139447257177,-0.9564034476411807,0.006692093170603563,51.13406566248814,11.851107168953114,0.0,-0.983783260556383,-0.9003237186246101,-0.9520984713296291,0.017878448727370638,0.8870134266855643,0.6221439069237409,-0.9003237186246101,4.423676151411704,0.0,60,True
ENSG00000223972.6,DDX11L1,,,,,,,,,,,,,,,,,0,False
ENSG00000310526.1,WASH7P,0.7090193838295843,9.00688065486288,1.6776206424890558,0.784050032709755,172.10324654029375,2.3388078731476054,0.05688053370302501,-0.0344388078640892,2.9742723210135744,1.636807488717079,0.5965337857020067,-0.18863782468903129,-0.24068085843054599,2.9742723210135744,8.930349474502338,0.5079630442642219,193,True
ENSG00000243485.6,MIR1302-2HG,0.31699676804208804,5.948723634973423,-0.9399774276006967,0.031325983113573715,68.19677855692234,9.59521123672753,0.0,-0.9516382467424912,-0.7274356777757851,-0.9091122483003663,0.049079552819540566,1.9575562105448623,3.451558822624743,-0.7274356777757851,5.948703466086124,0.0,54,True
ENSG00000237613.3,FAM138A,0.20571835605487535,1.7657963824600005,-0.9544870980202478,0.025129133908179085,25.89818563061354,3.7016679100628194,0.0,-0.9729762075107646,-0.888712231288318,-0.9452627394509339,0.02053689677926736,1.1658246514034314,1.136879580716748,-0.888712231288318,1.763917468341825,0.0,40,True
ENSG00000308361.1,ENSG00000308361,,,,,,,,,,,,,,,,,9,False
ENSG00000290826.2,ENSG00000290826,0.13411156293766907,4.45954735916435,-0.8793038862946649,0.038020073822648416,16.99168902212529,8.565261175320058,0.0,-0.9254781227609232,-0.6490332462298937,-0.869150830905778,0.04563850968700939,2.6365790344454902,9.969861667043096,-0.6490332462298937,4.459545702671897,0.0,47,True
ENSG00000268020.3,OR4G4P,0.3819341977893024,2.860202401570735,-0.9009943069847847,0.0324888182014648,49.574806410749865,5.104419216594629,0.0,-0.9624743942388492,-0.783730159359353,-0.8916582704015916,0.03596966589712416,0.8344435525187913,0.8962174771405489,-0.783730159359353,2.8601959032941684,0.0,52,True
ENSG00000186092.7,OR4F5,0.38927365194942753,657821875540.0107,-2.7525062429356666,0.363275579982607,68.24904168796611,8.324962922660294,0.0,-0.9784833173278276,-0.6140345053373362,-0.9277666187742147,0.061866449102633496,2.551036159038946,8.023988911431445,-0.6140345053373362,28.91916802394611,0.0,131,True
ENSG00000241860.8,ENSG00000241860,1.0987031846216606,10.413685269154616,-0.8340784122997182,0.10063442151465589,172.88884675315327,4.869151723324112,0.0,-0.9737721756458588,-0.4875930723334057,-0.801992049811589,0.09590326073731908,0.9666485804064854,0.6973829275415384,-0.4875930723334057,10.413602968562685,0.0,193,True
