gene,genename,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
ENSG00000290825.2,DDX11L16,2.120840481508919,76.3759697839858,-0.9685588981687593,0.008024050585368168,464.57449308637797,39.72761340686236,0.0,-0.9836834041749892,-0.7431499584625827,-0.9544698460994776,0.03377144139975845,3.372677447853119,13.959884993831952,-0.7431499584625827,76.35444623882367,0.0,265,True
ENSG00000223972.6,DDX11L1,,,,,,,,,,,,,,,,,0,False
ENSG00000310526.1,WASH7P,0.4609200281815121,47.05607224453597,1.2216441231461332,0.6853311642826218,1124.1313527974607,3.3747080899988973,0.0,-0.2464219903851483,2.857035471360888,1.2386709088030503,0.49605662025201674,0.07993768772738051,0.11427142418742964,2.857035471360888,46.897394900712314,0.0,754,True
ENSG00000243485.6,MIR1302-2HG,1.864616437726417,38.22657544776762,-0.9446061531649504,0.0197474678126794,426.93150843732695,22.264589094830846,0.0,-0.9713785156969792,-0.6337130404055692,-0.9212903368522413,0.04509037155456222,2.6549303719047015,10.567677600090198,-0.6337130404055692,38.21901435431429,0.0,229,True
ENSG00000237613.3,FAM138A,2.0544519620251935,71.39297439515524,-0.9645535133763427,0.011556473257723656,829.879791864782,35.87593624038612,0.0,-0.9842469700296124,-0.6713875384566068,-0.9477787590569805,0.040317414126584614,3.465636896383154,14.628841234502566,-0.6713875384566068,71.38028889257936,0.0,268,True
ENSG00000308361.1,ENSG00000308361,0.18648716755845765,1.9300204994173518,-0.823583322600436,0.05074548936579852,30.079593133670414,4.946151758934002,0.0,-0.9046291411280633,-0.6461031327884859,-0.8134421406295854,0.056552823638779566,1.2188605234687386,1.8355300630149909,-0.6461031327884859,1.9300044431963528,0.0,34,True
ENSG00000290826.2,ENSG00000290826,2.3473422763120833,69.09412274278647,-0.9058706861360926,0.0322626382191845,890.6501904732927,34.02087050397427,0.0,-0.9574299002657612,-0.1297481356426336,-0.8611428838639228,0.09116776543720652,3.472596694506985,18.649454976221154,-0.1297481356426336,69.08164202864974,0.0,283,True
ENSG00000268020.3,OR4G4P,2.7887788192651457,81.00871798541161,-0.9228146658220189,0.03424126897140011,1985.116496986413,31.33002207441116,0.0,-0.961638272881603,-0.1642448562314099,-0.8816954706354396,0.08666921304998297,4.10322223645441,24.830313082126004,-0.1642448562314099,81.00541688941355,0.0,346,True
ENSG00000186092.7,OR4F5,2.295789047886552,193.43029022772967,-0.9563225516281112,0.07517826586604208,837.2106814781159,24.574896492454616,0.0,-0.9874256057844566,0.3500558846245138,-0.8965984898777882,0.1305468948312015,4.911965158718731,33.78165004189775,0.3500558846245138,193.4294471908647,0.0,650,True
ENSG00000241860.8,ENSG00000241860,1.3173820776778207,55.31682835532322,-0.885582073421317,0.08706995153937055,1335.8573197237017,5.825541740300877,0.0,-0.9965042604504458,-0.5269165574666896,-0.8696484686070439,0.06646050468588435,0.9645788767062021,1.5471286479971162,-0.5269165574666896,55.315745317806886,0.0,754,True
ENSG00000308314.1,ENSG00000308314,1.5063421033391904,8.855303140847276,-0.9628709797855519,0.010356794301936362,140.69526702403158,17.406911537968124,0.0,-0.978204761970164,-0.835393909117227,-0.9382949757850361,0.03210176149225253,0.9516959098323525,0.20156948395168728,-0.835393909117227,8.854836371157155,0.0,105,True
ENSG00000233750.3,CICP27,1.1455728229717854,62.26132715507014,-0.998764446003303,0.09235545766547909,537.2472876603838,5.445637685031175,0.0,-0.9900538000815574,-0.64313614907374,-0.9328800716961109,0.05048635626655527,1.7890427014604189,4.6937619938438555,-0.64313614907374,61.709908358786485,0.0,571,True
ENSG00000308579.1,ENSG00000308579,3.8766281842760453,38.47809809854555,2.3816041508563717,1.1326682557542451,574.2188019841974,2.3706180360629783,0.05991234980745442,-0.8331508950477956,4.280273395310006,2.1916424641936127,0.9716627635790879,-0.5205182929600731,0.05733681036768967,4.280273395310006,38.46550987674683,2.304559083257749,754,True
ENSG00000268903.1,ENSG00000268903,-0.2793479663200279,40.0496617510776,-0.3023337723846651,1.0920257728625407,716.4205759376962,3.699931235063796,0.0,-0.9042294756804082,2.5546747969072623,-0.02161990699449584,0.5627461996534302,0.6274452352609164,0.024043670061737465,2.5546747969072623,40.00694603948423,0.0,690,True
ENSG00000269981.1,ENSG00000269981,3.9474606705995554,42.820784562577494,2.697332587097203,1.1019585385513175,635.2622305889045,2.728877787462294,0.02410352926954913,-0.7708784907438809,4.82368058613002,2.4968601077701917,0.9955276580097268,-0.5386276014106666,0.17256825608142679,4.82368058613002,42.81830176642678,1.0320721898994552,754,True
ENSG00000239906.1,ENSG00000239906,1.1433685322411644,24.56885144830694,-0.8268731829326816,0.04299751634721591,145.64922314066408,24.864108013535365,0.0,-0.9390519915350982,-0.0709089359366665,-0.7734528884316569,0.12545548543075255,2.5813965566738837,8.82524142136485,-0.0709089359366665,24.564364091805988,0.0,132,True
ENSG00000222623.1,RNU6-1100P,,,,,,,,,,,,,,,,,8,False
ENSG00000241599.1,ENSG00000241599,0.3303125673382377,1.008177090931855,-0.8631586380457876,0.012598667425467095,15.060049752700003,13.678197111509538,0.0,-0.9294045875370228,-0.7413050078919917,-0.8403173475698055,0.053881131942393336,0.4607506620803136,-0.7913666627657716,-0.7413050078919917,1.0081760447414059,0.0,18,True
ENSG00000308415.1,DDX11L2,1.3362177333738572,250.11051106523828,-0.9493024992002191,0.08399741738607455,760.0508754140967,33.65470948859094,0.0,-0.989793057130743,1.0496237981665053,-0.88640449352971,0.19842688777240453,6.549583116102392,49.806782883731714,1.0496237981665053,250.10576583575875,0.0,608,True
ENSG00000310527.1,WASH9P,1.8273453826113626,37.572493289997,1.2038392587786841,0.6625052897675666,701.6669460513738,2.7323229217456384,0.0022559356917948234,-0.0926362780065559,2.4838286728047536,1.1682722521175737,0.48815431728521996,-0.1465318401054929,-0.31106074510157855,2.4838286728047536,36.75618301968345,0.08291958516824671,754,True
ENSG00000308625.1,ENSG00000308625,0.8883824825574546,21.228031118805394,-0.767155040212421,0.06612962996217009,49.4825859081277,15.678678493216538,0.0,-0.8931492035497764,-0.0340089054006331,-0.7116383878285644,0.13416219864380075,2.1438690087994616,5.537373292258854,-0.0340089054006331,21.227788765568192,0.0,151,True
ENSG00000308544.1,ENSG00000308544,,,,,,,,,,,,,,,,,13,False
ENSG00000292994.2,ENSG00000292994,0.5922277935544091,50.98990254650284,-0.7028581091749625,0.34473545671031663,506.88584013323754,5.017786658249755,0.0,-0.9925561754487932,0.5203015474217316,-0.6365843176969396,0.222478879894936,0.9330346903905118,1.6031739989279652,0.5203015474217316,50.98948711458344,0.0,751,True
ENSG00000286448.2,ENSG00000286448,0.7155429471267588,269910514.3761339,-5.085776843592795,1.0658630202303658,750.0737288175104,6.656592002807537,0.0,-0.9870280718300088,-0.0688434430616332,-0.843803303712534,0.14402439768998165,1.7817462901901742,3.9517017705943767,-0.0688434430616332,102.03310644997264,0.0,625,True
ENSG00000236679.2,RPL23AP24,,,,,,,,,,,,,,,,,0,False
ENSG00000236601.3,ENSG00000236601,2.2360397967828085,105.15234207190012,-0.9561038450204221,0.013755507641344984,720.8970438400406,49.39153124838054,0.0,-0.9792723756685427,-0.4756915483339415,-0.931193285803236,0.05979184680354594,3.965729516416782,20.369578784287764,-0.4756915483339415,105.07582031931084,0.0,292,True
ENSG00000290385.2,ENSG00000290385,2.275817793575299,45.11743432755967,-0.48282314760557665,0.30201497146182027,896.6570349681488,4.54156567158526,0.0,-0.949137543302372,0.4870592401677251,-0.4385237595189416,0.24242428434960892,0.5987534260953308,0.28305377217921013,0.4870592401677251,45.115260566097504,0.0,754,True
ENSG00000269732.1,WBP1LP7,3.2298003813544534,61.758874452785285,-0.8371106855662613,0.058409020083348834,772.8600279024207,26.501947898475866,0.0,-0.9456432689379054,0.2574572412555034,-0.7403273128361635,0.18346993618557653,2.5451322468319035,8.25426455424405,0.2574572412555034,61.7587785884468,0.0,341,True
ENSG00000284733.2,OR4F29,3.6944509338864817,160.25649181241127,-0.93204340450488,0.02367689698313753,2640.394899233974,58.6583965815727,0.0,-0.970894887153972,0.0500210092512654,-0.8836785620411886,0.1120399551533495,4.438335594952486,25.84616217342805,0.0500210092512654,160.22168436741262,0.0,410,True
ENSG00000233653.3,CICP7,3.007918544332221,61.939526304896454,-0.9752900126324319,0.00744435053754932,704.5867392978741,30.125103471762547,0.0,-0.9878160964794596,-0.816712951719916,-0.9617602247503214,0.025101369474754456,2.424960761409709,7.682257393834913,-0.816712951719916,61.937514413375176,0.0,310,True
ENSG00000250575.1,ENSG00000250575,0.27500956443597924,350023589966.8575,-3.695543801915293,0.6052094621905991,10.675228751491563,14.41969416991651,0.0,-0.9777941330301392,2.4753313655410394,-0.8837987605717378,0.24918656523076035,10.27845757964764,118.18103483446873,2.4753313655410394,611.4520436984259,0.0,446,True
ENSG00000278757.1,U6,0.32646985518948607,1.1412697225380588,-0.5117123118774731,0.118889285415866,19.449754959832603,4.100101290680255,0.0,-0.7698338846768007,-0.1670273749265961,-0.49804241104191366,0.14068764026032543,0.34089214614443925,0.022812453257240684,-0.1670273749265961,1.1409947104041567,0.0,29,True
ENSG00000293331.2,ENSG00000293331,0.5119960941653346,57.95060496088519,-0.9868928256819346,0.09639868853351194,642.8703483700269,5.383076113772516,0.0,-0.989347610904556,-0.6199599299366993,-0.9297161096849204,0.049729861939603215,1.8158818277054922,5.547014819786332,-0.6199599299366993,57.950574518439645,0.0,572,True
ENSG00000225880.7,LINC00115,1.6555444209954147,54.352621606572406,0.3896052913421826,0.375752202277057,450.58604409388863,4.216508860762856,0.0,-0.5951132226797937,1.5099187521279478,0.3891198197250587,0.3057117374566571,0.03143314424403913,0.495949886405326,1.5099187521279478,54.34492476231016,0.0,754,True
ENSG00000235146.3,ENSG00000235146,1.924044044968989,69.5492368389541,-0.9344523115359566,0.022276513746806833,525.6919251560399,37.92655334838709,0.0,-0.9779987224601656,-0.3370380245334853,-0.9029770681127557,0.0671355836002554,3.5563225153087443,21.195828447748877,-0.3370380245334853,69.53437197050586,0.0,248,True
ENSG00000225972.1,MTND1P23,2.5441905023663214,111.73019964647696,2.2100210538527563,0.9987744860068212,802.6788173131395,13.236354261840834,0.0,-0.5717686160857909,11.55806669293606,2.919686122656032,2.3362429800279667,2.576960146182109,5.771712923135501,11.55806669293606,111.72386565643124,0.0,754,True
ENSG00000225630.1,MTND2P28,2.8414629320157814,135.24961974485404,8.199563853886875,0.6063625492203318,1282.3809451777174,6.107603278533122,7.9398576306576e-09,1.7381560476303677,10.818278588444604,8.164567814904073,1.023837160246722,-2.875476819695204,15.062133440456876,10.818278588444604,135.24442470718304,1.0738214775152244e-06,754,True
ENSG00000237973.1,MTCO1P12,2.5819690601655645,117.09534287642411,4.805853685706658,0.6444391582791874,1245.6490660149598,13.744225490287617,0.0,2.847285402330094,11.068922674592216,5.125231178776013,1.161647013043352,2.7358655866360664,8.478995079092028,11.068922674592216,117.09038542781407,0.0,754,True
ENSG00000229344.1,MTCO2P12,0.24583105296723318,99.37907680107513,2.2903660180679015,0.9815420275901555,835.1314563183973,10.418933206026438,0.0,0.2425049511435548,9.5216789516032,2.395897780721067,0.9745316652143499,3.127238054921861,18.392278848320082,9.5216789516032,99.37812681135738,0.0,754,True
ENSG00000240409.1,MTATP8P1,-0.3807328017534433,52.469796677769544,2.4462698949450727,1.644585676862665,612.1725018721099,4.575152783766498,0.0,-0.0647160265333529,7.766704472743093,2.5199680206720148,1.112311417618031,0.4674761371703766,0.7377843266033133,7.766704472743093,52.468291050571466,0.0,754,True
ENSG00000248527.1,MTATP6P1,0.9512766020146826,173.68802447312459,10.294579050886016,0.5300663123912487,500.51416045031965,4.134953745518563,0.00019375874808062851,2.7275175325185375,11.844415470300278,10.270232310515853,0.7422704171600627,-6.020589536691457,54.83382109553462,11.844415470300278,173.6837692689076,0.033652749695468276,754,True
ENSG00000198744.5,MTCO3P12,1.7526362325857991,86.785163544981,3.150170645573867,1.0746932522654846,612.2328316830728,9.535721137536115,0.0,0.73453838315958,10.396583376052131,3.4042164626026903,1.1999101670736543,2.1291578839473857,7.736148142765421,10.396583376052131,86.78401387470917,0.0,754,True
ENSG00000268663.1,WBP1LP6,2.3114247855338252,43.98267419162074,-0.8645900868466018,0.04174080946250581,411.93934332647535,19.111035222224316,0.0,-0.9400536431171168,-0.3005238799693889,-0.8220137010893942,0.09082867348467132,2.1839104612597455,6.384195089441574,-0.3005238799693889,43.97974795584139,0.0,295,True
ENSG00000284662.2,OR4F16,3.0784916635161124,80.7808513217671,-0.9315006519527951,0.02509814334056225,1252.02997984566,32.46928887579678,0.0,-0.9787434456348248,-0.3552659954250984,-0.8944838710864409,0.0731171783286929,2.7305580001493137,10.909114990154071,-0.3552659954250984,80.75993140353478,0.0,353,True
ENSG00000230021.11,ENSG00000230021,,,,,,,,,,,,,,,,,0,False
ENSG00000229376.3,CICP3,0.7564491819955677,64.8192753899561,-0.9022979719967713,0.15322295824068372,456.01789235609357,6.589536330084243,0.0,-0.9878246798796382,-0.1883547057225383,-0.8521804988406964,0.09887126670323376,1.7037351098322437,6.127655214464914,-0.1883547057225383,64.81924343280991,0.0,722,True
ENSG00000223181.1,RNU6-1199P,0.19124037496936935,4.388169176714043,-0.5316841161092928,0.14357459436621045,41.29456381049093,4.863016565343361,0.0,-0.756332137526085,-0.0379781799324937,-0.506604364084893,0.12804305436549465,1.1646854578744417,2.633519705402505,-0.0379781799324937,4.388105114606806,0.0,69,True
ENSG00000229905.1,ENSG00000229905,2.509018217298139,29.895393426293282,-0.8722580420871305,0.040617966641176055,253.07771582030364,14.08015212023823,0.0,-0.9404439774437916,-0.4678586187335301,-0.8276889605444057,0.0888437328645569,1.7460144357972671,3.1106344889386843,-0.4678586187335301,29.89335243886423,0.0,281,True
