gene,genename,n_obs,frac_at_floor,is_zero_inflated,n_modes,shapiro_p,shapiro_bh_reject,dagostino_p,anderson_stat,skew,kurt,mle_mu,mle_sigma,mle_sigma_dist,d_aic,d_aic_threshold,mle_success,r_squared,sigma_span_ratio,sigma_span_ok,x0_in_range,n_obs_ok,support_ok,qc_pass,dist_class
ENSG00000290825.2,DDX11L16,216,0.9953703703703703,True,,,False,,,,,,,,,,False,0.957326662594762,0.025492328269723,False,True,True,False,False,zero_inflated
ENSG00000223972.6,DDX11L1,0,,False,,,False,,,,,,,,,,False,,,False,False,False,False,False,undetermined
ENSG00000310526.1,WASH7P,714,0.0,False,1.0,0.0813804904970584,False,0.0895432189864943,0.6068208656568004,0.2009903431520164,-0.0036799801313724,0.8022621661805375,0.3965000736798962,3.150958543479686,1.1290900331807734,6.061973781708967,True,0.9520591549599786,0.1503134844438267,True,True,True,True,True,right_skewed
ENSG00000243485.6,MIR1302-2HG,180,1.0,True,,,False,,,,,,,,,,False,0.8450756566036219,0.0382764898216587,False,True,True,False,False,zero_inflated
ENSG00000237613.3,FAM138A,249,1.0,True,,,False,,,,,,,,,,False,0.8755017654506417,0.0389949871092521,False,True,True,False,False,zero_inflated
ENSG00000308361.1,ENSG00000308361,35,0.8857142857142857,True,,,False,,,,,,,,,,False,0.3185064395238186,0.1174074568383544,True,True,True,False,False,zero_inflated
ENSG00000290826.2,ENSG00000290826,294,0.9285714285714286,True,,,False,,,,,,,,,,False,0.9118362153947484,0.0320899925559238,False,True,True,False,False,zero_inflated
ENSG00000268020.3,OR4G4P,332,0.9397590361445785,True,,,False,,,,,,,,,,False,0.8415901053618846,0.0485031732778692,False,True,True,False,False,zero_inflated
ENSG00000186092.7,OR4F5,636,0.9355345911949684,True,,,False,,,,,,,,,,False,0.9986413966710856,0.0964104050022105,True,False,True,False,False,zero_inflated
ENSG00000241860.8,ENSG00000241860,714,0.8865546218487395,True,,,False,,,,,,,,,,False,0.9422341990392786,0.1425361919296016,True,True,True,False,False,zero_inflated
ENSG00000308314.1,ENSG00000308314,102,0.9803921568627452,True,,,False,,,,,,,,,,False,0.8427340061287757,0.0195046159723138,False,True,True,False,False,zero_inflated
ENSG00000233750.3,CICP27,477,0.9937106918238994,True,,,False,,,,,,,,,,False,0.9509985732584222,0.2001773002555359,True,False,True,False,False,zero_inflated
ENSG00000308579.1,ENSG00000308579,714,0.0028011204481792,False,1.0,0.0111216344747852,True,0.0089746437994904,0.6831562341753852,0.2769608413969045,0.0999335262472373,1.587211206776013,0.9396905458776226,3.431297093336368,0.4229167972323466,6.061973781708967,True,0.9431474280561358,0.1581039502005608,True,True,True,True,True,right_skewed
ENSG00000268903.1,ENSG00000268903,579,0.1761658031088082,False,1.0,6.255180891832409e-19,True,5.059176160072233e-25,14.299058446403135,1.1934007479186577,1.407269112548473,-0.2952741086639293,0.4735528975558189,3.9842637710751743,0.039087836635872,6.061973781708967,True,0.8227920047982509,0.2303346782539103,True,True,True,True,True,right_skewed
ENSG00000269981.1,ENSG00000269981,712,0.0028089887640449,False,1.0,0.0328727809100316,True,0.0369619194403708,0.5457442230248262,0.2328454974449574,-0.0991648225060051,1.696149727845438,0.987028270812532,3.1673994048060408,1.0653478411013566,6.061973781708967,True,0.9315222876230492,0.1750733473128196,True,True,True,True,True,right_skewed
ENSG00000239906.1,ENSG00000239906,111,0.7477477477477478,True,,,False,,,,,,,,,,False,0.8683821184073321,0.0394547929512502,False,True,True,False,False,zero_inflated
ENSG00000222623.1,RNU6-1100P,3,0.0,False,0.0,,False,,,,,-0.1049252120673941,0.4340037242113838,0.2944120224161783,0.9424208225368924,6.061973781708967,True,,,False,False,False,True,False,undetermined
ENSG00000241599.1,ENSG00000241599,13,0.8461538461538461,True,,,False,,,,,,,,,,False,0.2502284482119499,0.0688287371696311,True,True,False,False,False,zero_inflated
ENSG00000308415.1,DDX11L2,540,0.9481481481481482,True,,,False,,,,,,,,,,False,0.9985768634835815,0.0380382638676952,False,False,True,False,False,zero_inflated
