gene,genename,n_obs,frac_at_floor,is_zero_inflated,n_modes,shapiro_p,shapiro_bh_reject,dagostino_p,anderson_stat,skew,kurt,mle_mu,mle_sigma,mle_sigma_dist,d_aic,d_aic_threshold,mle_success,r_squared,sigma_span_ratio,sigma_span_ok,x0_in_range,n_obs_ok,support_ok,qc_pass,dist_class
ENSG00000290825.2,DDX11L16,183,1.0,True,,,False,,,,,,,,,,False,0.9041655188231988,0.0458622866081253,False,True,True,False,False,zero_inflated
ENSG00000223972.6,DDX11L1,0,,False,,,False,,,,,,,,,,False,,,False,False,False,False,False,undetermined
ENSG00000310526.1,WASH7P,691,0.0,False,1.0,0.0134925074464288,True,0.0155094779173456,0.907900719248346,0.2625851030529963,-0.1417462300170808,0.4480918993356558,0.4304265169790822,3.1816865139460613,0.9851796702289448,6.136262436968911,True,0.9442415690767788,0.1756502226184585,True,True,True,True,True,right_skewed
ENSG00000243485.6,MIR1302-2HG,121,1.0,True,,,False,,,,,,,,,,False,0.8126271057268931,0.0655972760470111,True,True,True,False,False,zero_inflated
ENSG00000237613.3,FAM138A,196,1.0,True,,,False,,,,,,,,,,False,0.8776717627541603,0.0506045040975672,True,True,True,False,False,zero_inflated
ENSG00000308361.1,ENSG00000308361,25,0.8,True,,,False,,,,,,,,,,False,0.287275647693191,0.0918772456154599,True,True,False,False,False,zero_inflated
ENSG00000290826.2,ENSG00000290826,208,0.9326923076923076,True,,,False,,,,,,,,,,False,0.8923174010723617,0.0502490316841004,True,True,True,False,False,zero_inflated
ENSG00000268020.3,OR4G4P,225,0.9422222222222222,True,,,False,,,,,,,,,,False,0.858022979860762,0.0343089225170794,False,True,True,False,False,zero_inflated
ENSG00000186092.7,OR4F5,556,0.933453237410072,True,,,False,,,,,,,,,,False,0.997336824680113,0.1181468106395471,True,False,True,False,False,zero_inflated
ENSG00000241860.8,ENSG00000241860,690,0.9855072463768116,True,,,False,,,,,,,,,,False,0.9186150112753736,0.1498088512161464,True,True,True,False,False,zero_inflated
ENSG00000308314.1,ENSG00000308314,21,1.0,True,,,False,,,,,,,,,,False,0.3098046865893316,0.2392348980473735,True,False,False,False,False,zero_inflated
ENSG00000233750.3,CICP27,376,0.9973404255319148,True,,,False,,,,,,,,,,False,0.8676590122505041,0.1376903978136155,True,True,True,False,False,zero_inflated
