gene,genename,n_obs,frac_at_floor,is_zero_inflated,n_modes,shapiro_p,shapiro_bh_reject,dagostino_p,anderson_stat,skew,kurt,mle_mu,mle_sigma,mle_sigma_dist,d_aic,d_aic_threshold,mle_success,r_squared,sigma_span_ratio,sigma_span_ok,x0_in_range,n_obs_ok,support_ok,qc_pass,dist_class
ENSG00000290825.2,DDX11L16,63,0.9841269841269841,True,,,False,,,,,,,,,,False,0.9445081560007627,0.05233237719539074,True,True,True,False,False,zero_inflated
ENSG00000223972.6,DDX11L1,0,,False,,,False,,,,,,,,,,False,,,False,False,False,False,False,undetermined
ENSG00000310526.1,WASH7P,104,0.0,False,1.0,0.0008331636850701181,True,0.00647881449790255,1.3635765935370898,0.7604297810375497,0.2686040087737198,0.48502125103504684,0.5677559229592184,3.141865660098049,0.169548514222015,5.877876666917185,True,0.3961718075767169,0.21059924143234127,True,True,True,True,True,right_skewed
ENSG00000243485.6,MIR1302-2HG,38,0.9473684210526315,True,,,False,,,,,,,,,,False,0.7236847305240105,0.08570849386569628,True,True,True,False,False,zero_inflated
ENSG00000237613.3,FAM138A,52,0.9807692307692307,True,,,False,,,,,,,,,,False,0.8922162424092009,0.1417253353245609,True,False,True,False,False,zero_inflated
ENSG00000308361.1,ENSG00000308361,16,1.0,True,,,False,,,,,,,,,,False,0.4645194365897308,0.6629829587835173,True,False,False,False,False,zero_inflated
ENSG00000290826.2,ENSG00000290826,64,0.9375,True,,,False,,,,,,,,,,False,0.9196303486869087,0.03396840036734363,False,True,True,False,False,zero_inflated
ENSG00000268020.3,OR4G4P,79,0.9493670886075949,True,,,False,,,,,,,,,,False,0.976343516100254,0.30841432322660806,True,False,True,False,False,zero_inflated
ENSG00000186092.7,OR4F5,100,0.93,True,,,False,,,,,,,,,,False,0.9812837886792077,0.04532814447864165,False,True,True,False,False,zero_inflated
ENSG00000241860.8,ENSG00000241860,104,0.9903846153846154,True,,,False,,,,,,,,,,False,0.8346608122433126,0.07033100461412162,True,True,True,False,False,zero_inflated
ENSG00000308314.1,ENSG00000308314,12,1.0,True,,,False,,,,,,,,,,False,0.285009851209286,0.0075922940541030826,False,False,False,False,False,zero_inflated
ENSG00000233750.3,CICP27,86,1.0,True,,,False,,,,,,,,,,False,0.765968957322462,0.060009683410523845,True,True,True,False,False,zero_inflated
ENSG00000308579.1,ENSG00000308579,104,0.0,False,1.0,0.27767953361388087,False,0.11768099542096604,0.4465196087701315,0.10361777433070811,-0.7123565524755695,1.8175758314955848,1.0647852062942915,2.503738125548572,1.1462633587788673,5.877876666917185,True,0.38971009885728947,0.36874218537424525,True,True,True,True,True,normal
ENSG00000268903.1,ENSG00000268903,97,0.21649484536082475,True,,,False,,,,,,,,,,False,0.6421776526775667,0.6325308920362208,True,False,True,False,False,zero_inflated
ENSG00000269981.1,ENSG00000269981,104,0.009615384615384616,False,1.0,0.204555160395208,False,0.11937055025990972,0.6989259468984557,-0.00037291239115869206,-0.721324311088579,1.687277213676701,1.0812969924602993,2.1551687649932925,2.68071515469029,5.877876666917185,True,0.3825051298727531,0.459798284381437,True,True,True,True,True,normal
ENSG00000239906.1,ENSG00000239906,19,0.8947368421052632,True,,,False,,,,,,,,,,False,0.3311355468280317,0.014805161544050248,False,True,False,False,False,zero_inflated
