gene,genename,n_obs,frac_at_floor,is_zero_inflated,n_modes,shapiro_p,shapiro_bh_reject,dagostino_p,anderson_stat,skew,kurt,mle_mu,mle_sigma,mle_sigma_dist,d_aic,d_aic_threshold,mle_success,r_squared,sigma_span_ratio,sigma_span_ok,x0_in_range,n_obs_ok,support_ok,qc_pass,dist_class
ENSG00000290825.2,DDX11L16,396,0.9974747474747476,True,,,False,,,,,,,,,,False,0.8991794976331692,0.0430335418730303,False,True,True,False,False,zero_inflated
ENSG00000223972.6,DDX11L1,1,0.0,False,0.0,,False,,,,,,,,,6.03433332162192,False,,,False,False,False,True,False,undetermined
ENSG00000310526.1,WASH7P,818,0.0012224938875305,False,1.0,9.302003917457416e-17,True,8.286703740374948e-30,9.325357990653629,1.014074945195703,1.629850291364698,-0.1185632097390768,0.356579366032188,5.447120877709999,4.187452987025608e-05,6.03433332162192,True,0.9315816850133092,0.1168211437135515,True,True,True,True,True,right_skewed
ENSG00000243485.6,MIR1302-2HG,194,0.9948453608247424,True,,,False,,,,,,,,,,False,0.9123722796774698,0.0316647689918354,False,True,True,False,False,zero_inflated
ENSG00000237613.3,FAM138A,419,0.9976133651551312,True,,,False,,,,,,,,,,False,0.8925419294024679,0.0297622611309301,False,True,True,False,False,zero_inflated
ENSG00000308361.1,ENSG00000308361,59,0.9491525423728814,True,,,False,,,,,,,,,,False,0.6559043082341466,0.119483739059384,True,True,True,False,False,zero_inflated
ENSG00000290826.2,ENSG00000290826,450,0.9133333333333332,True,,,False,,,,,,,,,,False,0.8935631984182735,0.0272046770558631,False,True,True,False,False,zero_inflated
ENSG00000268020.3,OR4G4P,508,0.9311023622047244,True,,,False,,,,,,,,,,False,0.8636547502589415,0.0339645393284221,False,True,True,False,False,zero_inflated
ENSG00000186092.7,OR4F5,785,0.8687898089171975,True,,,False,,,,,,,,,,False,0.9806477839667536,0.0419681915956792,False,True,True,False,False,zero_inflated
ENSG00000241860.8,ENSG00000241860,814,0.9975429975429976,True,,,False,,,,,,,,,,False,0.96748885492479,0.0727483951654716,True,True,True,False,False,zero_inflated
ENSG00000308314.1,ENSG00000308314,73,1.0,True,,,False,,,,,,,,,,False,0.8457449495634044,0.0665004371732043,True,True,True,False,False,zero_inflated
ENSG00000233750.3,CICP27,410,1.0,True,,,False,,,,,,,,,,False,0.8651080223899511,0.0832686395819485,True,True,True,False,False,zero_inflated
ENSG00000308579.1,ENSG00000308579,768,0.1510416666666666,False,1.0,6.867737748300675e-20,True,1.1237852539875372e-32,14.139516387817936,1.1631995626611458,1.6238127606517514,-0.30087489561364,0.4467351667804846,4.795090480863021,0.0012486217539162,6.03433332162192,True,0.9468104767461558,0.1802893503037836,True,True,True,True,True,right_skewed
ENSG00000268903.1,ENSG00000268903,261,0.6973180076628352,True,,,False,,,,,,,,,,False,0.9366183181625144,0.0337998057180336,False,True,True,False,False,zero_inflated
ENSG00000269981.1,ENSG00000269981,754,0.0941644562334217,False,1.0,5.378252657520114e-18,True,2.669782083174009e-31,10.135421027731809,1.1021823120449104,1.8429846808464931,-0.1780491634984925,0.4925853158364494,5.241781150922494,0.0001199095411266,6.03433332162192,True,0.959126278246061,0.1662702760174379,True,True,True,True,True,right_skewed
ENSG00000239906.1,ENSG00000239906,58,0.9310344827586208,True,,,False,,,,,,,,,,False,0.5379439236374701,0.1421137659513898,True,True,True,False,False,zero_inflated
ENSG00000222623.1,RNU6-1100P,0,,False,,,False,,,,,,,,,,False,,,False,False,False,False,False,undetermined
ENSG00000241599.1,ENSG00000241599,22,1.0,True,,,False,,,,,,,,,,False,0.5190301018220957,0.1861891801170354,True,True,False,False,False,zero_inflated
ENSG00000308415.1,DDX11L2,673,0.9420505200594352,True,,,False,,,,,,,,,,False,0.998325518108972,0.0804881394497951,True,False,True,False,False,zero_inflated
ENSG00000310527.1,WASH9P,818,0.0036674816625916,False,1.0,2.554846973716389e-17,True,5.06116966016868e-29,10.321271691087532,1.0286366966259168,1.3878686507462152,-0.1028246224402449,0.3770673414264803,4.285068551215232,0.0149294656227993,6.03433332162192,True,0.9343685518703796,0.131977369106959,True,True,True,True,True,right_skewed
ENSG00000308625.1,ENSG00000308625,147,0.7346938775510204,True,,,False,,,,,,,,,,False,0.8448382068060529,0.0545694163354879,True,True,True,False,False,zero_inflated
ENSG00000308544.1,ENSG00000308544,8,0.125,False,1.0,,False,,,,,-0.6326273206083547,0.0943525431420059,0.5700475510482187,2.053538345891397,6.03433332162192,True,,,False,False,False,True,False,undetermined
ENSG00000292994.2,ENSG00000292994,815,0.8061349693251534,True,,,False,,,,,,,,,,False,0.9765543837037968,0.0799183711232109,True,True,True,False,False,zero_inflated
ENSG00000286448.2,ENSG00000286448,399,1.0,True,,,False,,,,,,,,,,False,0.9666346617524874,0.1920009953622525,True,False,True,False,False,zero_inflated
ENSG00000236679.2,RPL23AP24,1,0.0,False,0.0,,False,,,,,,,,,6.03433332162192,False,,,False,False,False,True,False,undetermined
ENSG00000236601.3,ENSG00000236601,408,0.9754901960784312,True,,,False,,,,,,,,,,False,0.9569191222144932,0.0235193462208312,False,True,True,False,False,zero_inflated
ENSG00000290385.2,ENSG00000290385,818,0.7921760391198044,True,,,False,,,,,,,,,,False,0.9562580264163922,0.0994232663842172,True,True,True,False,False,zero_inflated
ENSG00000269732.1,WBP1LP7,496,0.6431451612903226,True,,,False,,,,,,,,,,False,0.8096499399085628,0.0603788979316014,True,True,True,False,False,zero_inflated
ENSG00000284733.2,OR4F29,616,0.9285714285714286,True,,,False,,,,,,,,,,False,0.9930680979845796,0.0803118710207191,True,False,True,False,False,zero_inflated
ENSG00000233653.3,CICP7,379,0.9973614775725592,True,,,False,,,,,,,,,,False,0.9328954585750888,0.0261861756708253,False,True,True,False,False,zero_inflated
ENSG00000250575.1,ENSG00000250575,312,0.9903846153846154,True,,,False,,,,,,,,,,False,0.9629075433522224,0.0265010494592946,False,True,True,False,False,zero_inflated
ENSG00000278757.1,U6,2,0.5,True,,,False,,,,,,,,,,False,,,False,False,False,False,False,zero_inflated
ENSG00000293331.2,ENSG00000293331,545,0.998165137614679,True,,,False,,,,,,,,,,False,0.9759842834931436,0.0672276178408351,True,True,True,False,False,zero_inflated
ENSG00000225880.7,LINC00115,818,0.0342298288508557,False,1.0,1.3649255868056977e-22,True,5.646381811165374e-63,16.63235957823349,1.592882988421123,5.018255009884864,-0.4796306514807856,0.2026794510530929,7.173265920996911,5.991296347929165e-10,6.03433332162192,True,0.9678882911420348,0.0783911658854715,True,True,True,True,True,right_skewed
ENSG00000235146.3,ENSG00000235146,350,0.9628571428571427,True,,,False,,,,,,,,,,False,0.886618122739783,0.0336499249265229,False,True,True,False,False,zero_inflated
ENSG00000225972.1,MTND1P23,818,0.0,False,2.0,6.268402050572688e-40,True,1.6096930706048475e-97,122.48108484555212,2.637574160288109,5.961152531041829,3.6025535921270952,2.344753025331726,3.7792160835876096,0.128030045115338,6.03433332162192,True,0.978008337677459,0.0565522382670998,True,True,True,True,True,multimodal
ENSG00000225630.1,MTND2P28,818,0.0,False,1.0,1.0757752999401179e-33,True,1.1640932659737101e-96,50.86062460504445,-2.163015627798868,11.982262836332271,8.624240567160161,1.0677962768740106,2.8187504393880136,3.714285191611907,6.03433332162192,True,0.9896668395833064,0.0501378093945537,True,True,True,True,True,non_normal
ENSG00000237973.1,MTCO1P12,818,0.0,False,1.0,3.2445498273410795e-31,True,3.23068127314957e-86,47.35063788494176,2.179094165148062,6.682398514550508,5.837742521033982,1.2292873787806953,4.585323939673935,0.00370675148406,6.03433332162192,True,0.9633074982435856,0.0558430318912622,True,True,True,True,True,right_skewed
ENSG00000229344.1,MTCO2P12,818,0.0,False,1.0,3.174510272858826e-32,True,4.131193220114031e-138,24.018297581088063,3.263605703915351,20.98931002768922,3.0064424359156643,0.925054953641827,8.534385079467098,4.547473508864641e-13,6.03433332162192,True,0.9923969188290176,0.0587012025801835,True,True,True,True,True,right_skewed
ENSG00000240409.1,MTATP8P1,818,0.0,False,1.0,4.4045511085078304e-11,True,2.7898430371290454e-19,1.3195723874584928,0.6020720768854638,2.0354278691816994,3.125207529076389,1.0844419799202547,5.612281911836017,1.6333433904947015e-05,6.03433332162192,True,0.9645812018716668,0.1199142247251489,True,True,True,True,True,right_skewed
ENSG00000248527.1,MTATP6P1,818,0.0,False,1.0,5.414360575002054e-41,True,1.0006309954761359e-215,58.63990628986562,-6.054160937648894,55.04428794874708,11.256347773829964,0.7243909100985642,2.3881655011133303,12.134329197427633,6.03433332162192,True,0.9967674068795483,0.0349923162615177,False,True,True,True,False,right_truncated
ENSG00000198744.5,MTCO3P12,818,0.0,False,1.0,5.0027659994856985e-27,True,3.9791804304142547e-82,26.579806787945017,2.0164195667861464,7.009239774563937,3.761489508746693,1.2139558597936448,5.619239413126384,1.5689186511735898e-05,6.03433332162192,True,0.9721101525817978,0.0733832897929176,True,True,True,True,True,right_skewed
ENSG00000268663.1,WBP1LP6,410,0.8390243902439024,True,,,False,,,,,,,,,,False,0.9118858916691666,0.0509934184468904,True,True,True,False,False,zero_inflated
ENSG00000284662.2,OR4F16,553,0.9385171790235082,True,,,False,,,,,,,,,,False,0.8471267863800472,0.0644196315496179,True,True,True,False,False,zero_inflated
ENSG00000230021.11,ENSG00000230021,0,,False,,,False,,,,,,,,,,False,,,False,False,False,False,False,undetermined
ENSG00000229376.3,CICP3,807,0.8265179677819083,True,,,False,,,,,,,,,,False,0.9723515034969944,0.1080909016370565,True,True,True,False,False,zero_inflated
ENSG00000223181.1,RNU6-1199P,89,0.0449438202247191,False,1.0,3.142450619736169e-07,True,3.657999489997728e-10,2.6327702835945246,1.7026352604008397,4.542550567883175,-0.5907055242374752,0.1382718999329928,4.219857611695999,0.0021730859988764,6.03433332162192,True,0.7721586502586149,0.0892297706008178,True,True,True,True,True,right_skewed
ENSG00000229905.1,ENSG00000229905,424,0.8419811320754716,True,,,False,,,,,,,,,,False,0.8491797978188697,0.0425637711265392,False,True,True,False,False,zero_inflated
ENSG00000237491.11,LINC01409,818,0.3215158924205379,True,,,False,,,,,,,,,,False,0.9505866406334932,0.0926323301247937,True,True,True,False,False,zero_inflated
ENSG00000177757.3,FAM87B,807,0.3804213135068153,True,,,False,,,,,,,,,,False,0.9638515479211296,0.1419625108324239,True,True,True,False,False,zero_inflated
ENSG00000228794.13,LINC01128,818,0.0,False,1.0,0.0126777789730691,True,0.0054880849987278,1.022979295934192,0.2712866062816966,0.1087172722376661,1.6478506421945385,0.4380774206968166,3.6343525306394575,0.2261562377616428,6.03433332162192,True,0.9657672266257464,0.1436088257897635,True,True,True,True,True,right_skewed
ENSG00000297178.1,ENSG00000297178,796,0.5276381909547738,True,,,False,,,,,,,,,,False,0.961217419799178,0.1253212656382132,True,True,True,False,False,zero_inflated
ENSG00000297224.1,ENSG00000297224,781,0.3380281690140845,True,,,False,,,,,,,,,,False,0.9571133428750872,0.1637739627185304,True,True,True,False,False,zero_inflated
ENSG00000230368.3,FAM41C,727,0.7936726272352133,True,,,False,,,,,,,,,,False,0.9979744263760378,0.1044684067962547,True,False,True,False,False,zero_inflated
ENSG00000234711.1,TUBB8P11,689,0.6676342525399129,True,,,False,,,,,,,,,,False,0.8937465544689935,0.1367623372719426,True,True,True,False,False,zero_inflated
ENSG00000283040.1,ENSG00000283040,372,0.8333333333333334,True,,,False,,,,,,,,,,False,0.8900113591259687,0.0452331237201183,False,True,True,False,False,zero_inflated
ENSG00000296088.1,ENSG00000296088,530,0.8113207547169812,True,,,False,,,,,,,,,,False,0.8326209636416264,0.0947489011860377,True,True,True,False,False,zero_inflated
ENSG00000272438.2,ENSG00000272438,818,0.904645476772616,True,,,False,,,,,,,,,,False,0.9557993132388078,0.0470820468355893,False,True,True,False,False,zero_inflated
ENSG00000298603.1,ENSG00000298603,237,0.7763713080168776,True,,,False,,,,,,,,,,False,0.9459025862614792,0.049957349251686,False,True,True,False,False,zero_inflated
ENSG00000223764.3,LINC02593,809,0.7107540173053152,True,,,False,,,,,,,,,,False,0.9789712620494486,0.0449456573533369,False,True,True,False,False,zero_inflated
ENSG00000187634.13,SAMD11,817,0.3243574051407589,True,,,False,,,,,,,,,,False,0.923145274089196,0.05001394355284,True,True,True,False,False,zero_inflated
ENSG00000188976.11,NOC2L,818,0.0,False,1.0,4.031623411892746e-06,True,1.4274807824684203e-10,2.5739813190984933,0.066328618588533,-0.7181948099766493,4.987155959017967,0.5623324917013037,2.5691817751758483,7.568568469858064,6.03433332162192,True,0.901440141750344,0.3160188355025052,True,True,True,True,True,non_normal
ENSG00000187961.15,KLHL17,818,0.0,False,1.0,5.310776009875337e-07,True,1.2744333517025242e-08,2.9112871692440194,0.4726822568986163,0.5924157722122598,0.8194746674412831,0.472037199586844,3.742436931986579,0.1482203062137159,6.03433332162192,True,0.965252016355728,0.1256239254959476,True,True,True,True,True,right_skewed
ENSG00000187583.11,PLEKHN1,818,0.1295843520782396,False,1.0,7.352118299157741e-28,True,7.933687011183338e-88,25.26763782607065,2.139451688985247,7.802905874036332,-0.3777126710743304,0.4117487507482262,6.841659084007631,6.403411134670023e-09,6.03433332162192,True,0.9500461053607168,0.0781116154000708,True,True,True,True,True,right_skewed
ENSG00000187642.10,PERM1,818,0.0,False,1.0,3.389539835430258e-16,True,2.1359944193557087e-26,10.099765220998163,-0.9667423364021503,1.2705439606578173,5.853541369805986,1.2923923228512952,1.871930039483289,38.01155164772308,6.03433332162192,True,0.9445902568187816,0.1227070210132462,True,True,True,True,True,right_truncated
ENSG00000303599.1,ENSG00000303599,815,0.0294478527607361,False,1.0,9.85827196254233e-07,True,1.1437678125833472e-05,2.259348478148695,0.2399623032068205,-0.5038117982286017,0.188356781620767,0.5672582188020383,3.463206579135821,0.4294596065205951,6.03433332162192,True,0.9265580391001416,0.23107709875307,True,True,True,True,True,right_skewed
ENSG00000272512.1,ENSG00000272512,818,0.0012224938875305,False,1.0,1.3171184229867511e-20,True,8.99011981645461e-43,16.01143621442077,1.2888026055274906,2.4206497697114626,0.5121373842394796,0.6991099735913897,5.281861398923653,0.0001046026457061,6.03433332162192,True,0.9473797283411344,0.0989961310052683,True,True,True,True,True,right_skewed
ENSG00000188290.11,HES4,818,0.0,False,1.0,1.762588671189571e-07,True,1.5910865193754695e-09,2.5816311167061485,0.5214795669909751,0.5288686545282366,1.7098674509494405,0.7992028258565658,4.647580309056272,0.0027466271135381,6.03433332162192,True,0.9500148500773372,0.1255635526029005,True,True,True,True,True,right_skewed
ENSG00000303623.1,ENSG00000303623,775,0.1651612903225806,False,1.0,1.6153504224408907e-16,True,1.0146301090807716e-19,9.75660236780243,0.8897032996445228,0.6435772211105908,-0.4141907968573738,0.3434224219754724,3.903316240839268,0.073279524130271,6.03433332162192,True,0.9055013728976647,0.1923434917325552,True,True,True,True,True,right_skewed
ENSG00000187608.10,ISG15,818,0.0,False,1.0,3.5885444556739015e-18,True,1.3070744215263335e-47,8.127409593250604,1.2515820443056187,3.8436908733965938,2.1450323035138323,0.7394324003444325,6.119166866899001,7.694584382988978e-07,6.03433332162192,True,0.966010878610509,0.094849148844926,True,True,True,True,True,right_skewed
ENSG00000303614.1,ENSG00000303614,636,0.5943396226415094,True,,,False,,,,,,,,,,False,0.9731914070309144,0.101589309925266,True,True,True,False,False,zero_inflated
ENSG00000231702.2,ENSG00000231702,268,0.0746268656716417,False,1.0,1.188166993241153e-17,True,4.856017170425484e-33,12.732132486372564,2.2592259184304,7.5730797505330365,-0.5428109345222447,0.234357033539192,5.724296847578678,2.783524351457345e-06,6.03433332162192,True,0.8556420302228032,0.0560885182985859,True,True,True,True,True,right_skewed
ENSG00000224969.1,ENSG00000224969,631,0.5229793977812995,True,,,False,,,,,,,,,,False,0.9852900272713068,0.110351264238995,True,True,True,False,False,zero_inflated
ENSG00000188157.16,AGRN,818,0.0,False,1.0,1.239241966351132e-10,True,1.0532788900754432e-13,3.774591757774488,0.6610251144805372,0.622598655914973,0.8572266858724782,0.5193001355752028,4.082855214709228,0.0363197124695489,6.03433332162192,True,0.9626704879410964,0.1468107027793344,True,True,True,True,True,right_skewed
ENSG00000291156.2,ENSG00000291156,796,0.878140703517588,True,,,False,,,,,,,,,,False,0.960291512963664,0.1003528188380766,True,True,True,False,False,zero_inflated
ENSG00000273443.2,ENSG00000273443,674,0.93026706231454,True,,,False,,,,,,,,,,False,0.8522882360205517,0.1165339957021464,True,True,True,False,False,zero_inflated
ENSG00000217801.13,ENSG00000217801,263,0.7718631178707225,True,,,False,,,,,,,,,,False,0.9027699894716184,0.0414894739714227,False,True,True,False,False,zero_inflated
ENSG00000304119.1,ENSG00000304119,637,0.8744113029827315,True,,,False,,,,,,,,,,False,0.9904048918921756,0.1051437574655349,True,False,True,False,False,zero_inflated
ENSG00000304169.1,ENSG00000304169,553,0.9059674502712476,True,,,False,,,,,,,,,,False,0.8581020555014256,0.0510999971068867,True,True,True,False,False,zero_inflated
ENSG00000237330.3,RNF223,731,0.9316005471956224,True,,,False,,,,,,,,,,False,0.998092255472803,0.0534970531989177,True,False,True,False,False,zero_inflated
ENSG00000131591.18,C1orf159,818,0.0,False,1.0,4.2853464041877565e-18,True,9.33636427755005e-41,11.112418493285077,1.1736608539237725,2.810711500080359,0.3389143749958753,0.3568191311181019,6.5130647209982735,6.023185505910078e-08,6.03433332162192,True,0.9421540650486055,0.0905952890127742,True,True,True,True,True,right_skewed
ENSG00000285812.1,ENSG00000285812,657,0.9208523592085236,True,,,False,,,,,,,,,,False,0.8802777271638786,0.1223245941801754,True,True,True,False,False,zero_inflated
ENSG00000299943.1,ENSG00000299943,672,0.9776785714285714,True,,,False,,,,,,,,,,False,0.9896594669424752,0.07116258840031,True,True,True,False,False,zero_inflated
ENSG00000223823.1,LINC01342,726,0.9159779614325068,True,,,False,,,,,,,,,,False,0.9785747843309408,0.1529486212179327,True,False,True,False,False,zero_inflated
ENSG00000304965.1,ENSG00000304965,645,0.862015503875969,True,,,False,,,,,,,,,,False,0.8509139357605754,0.1502894589997911,True,True,True,False,False,zero_inflated
ENSG00000207730.3,MIR200B,118,0.0254237288135593,False,1.0,7.116078873607484e-10,True,2.065482286327515e-13,5.26430318782792,1.859778426874909,4.8053521985389285,-0.5221673922234619,0.1857543581963011,4.568188505081446,0.0005803248520663,6.03433332162192,True,0.8409245241186869,0.0714680768292763,True,True,True,True,True,right_skewed
ENSG00000207607.3,MIR200A,83,0.0,False,1.0,1.3109997278410944e-07,True,1.1646390653607406e-09,2.829724669896251,1.7542819553285298,4.116361657770373,-0.5374715529448417,0.1435199983736297,4.128783929069408,0.003021957470537,6.03433332162192,True,0.6997978616841813,0.1432593598242658,True,True,True,True,True,right_skewed
ENSG00000198976.1,MIR429,116,0.0086206896551724,False,1.0,1.1792174442148132e-11,True,3.1049450407334824e-14,7.85733483085771,2.0546197233227974,4.739156213182785,-0.4715308172970086,0.1951109680781843,4.484713026147401,0.0008465664278105,6.03433332162192,True,0.9191666088676675,0.0605267782065547,True,True,True,True,True,right_skewed
ENSG00000272141.1,ENSG00000272141,612,0.8774509803921569,True,,,False,,,,,,,,,,False,0.9954479475871044,0.0904725037653543,True,False,True,False,False,zero_inflated
