gene,genename,n_obs,frac_at_floor,is_zero_inflated,n_modes,shapiro_p,shapiro_bh_reject,dagostino_p,anderson_stat,skew,kurt,mle_mu,mle_sigma,mle_sigma_dist,d_aic,d_aic_threshold,mle_success,r_squared,sigma_span_ratio,sigma_span_ok,x0_in_range,n_obs_ok,support_ok,qc_pass,dist_class
ENSG00000290825.2,DDX11L16,206,1.0,True,,,False,,,,,,,,,,False,0.8748706487299375,0.0461631384082627,False,True,True,False,False,zero_inflated
ENSG00000223972.6,DDX11L1,0,,False,,,False,,,,,,,,,,False,,,False,False,False,False,False,undetermined
ENSG00000310526.1,WASH7P,670,0.0,False,1.0,0.6228330409643409,False,0.5760728007224856,0.2327633041574017,0.0735634804053902,-0.1448990095797611,1.4006454614351078,0.5271095495352055,2.9360125922397837,2.1256409250122488,6.012923530859314,True,0.9089572080615892,0.1783315940737375,True,True,True,True,True,normal
ENSG00000243485.6,MIR1302-2HG,191,0.9842931937172776,True,,,False,,,,,,,,,,False,0.9141912315812628,0.0361723502073543,False,True,True,False,False,zero_inflated
ENSG00000237613.3,FAM138A,207,1.0,True,,,False,,,,,,,,,,False,0.8966571208217857,0.0521975962623658,True,True,True,False,False,zero_inflated
ENSG00000308361.1,ENSG00000308361,14,0.9285714285714286,True,,,False,,,,,,,,,,False,0.2344946417168095,0.0328498418269096,False,True,False,False,False,zero_inflated
ENSG00000290826.2,ENSG00000290826,218,0.926605504587156,True,,,False,,,,,,,,,,False,0.8630916137821243,0.0640002773096257,True,True,True,False,False,zero_inflated
ENSG00000268020.3,OR4G4P,243,0.9588477366255144,True,,,False,,,,,,,,,,False,0.8640791991031034,0.0522975237720477,True,True,True,False,False,zero_inflated
ENSG00000186092.7,OR4F5,534,0.9288389513108616,True,,,False,,,,,,,,,,False,0.992786737129829,0.1146845975840144,True,False,True,False,False,zero_inflated
ENSG00000241860.8,ENSG00000241860,670,0.835820895522388,True,,,False,,,,,,,,,,False,0.9313457144860852,0.1485397843583959,True,True,True,False,False,zero_inflated
ENSG00000308314.1,ENSG00000308314,52,1.0,True,,,False,,,,,,,,,,False,0.820927609413781,0.0223495054346107,False,True,True,False,False,zero_inflated
ENSG00000233750.3,CICP27,404,0.995049504950495,True,,,False,,,,,,,,,,False,0.8943529691755334,0.0905033510320844,True,True,True,False,False,zero_inflated
ENSG00000308579.1,ENSG00000308579,669,0.0059790732436472,False,1.0,0.0056143568878705,True,0.0314718317540704,0.5882784234850078,0.2440829098474156,-0.1228544621715634,1.086342336680246,0.8668183835412053,3.3289146684014037,0.5726265208647874,6.012923530859314,True,0.9089104984787648,0.1901923743714451,True,True,True,True,True,right_skewed
ENSG00000268903.1,ENSG00000268903,459,0.167755991285403,False,1.0,7.159713036463058e-20,True,5.721144088651176e-34,15.56006439690475,1.6245319811508814,3.4016107433024283,-0.4236483462657169,0.3671405820822842,5.191291803078714,9.58554801968603e-05,6.012923530859314,True,0.7676751553909296,0.1234484775720209,True,True,True,True,True,right_skewed
ENSG00000269981.1,ENSG00000269981,666,0.006006006006006,False,1.0,0.010912416960322,True,0.0466478202129389,0.4895674037586559,0.1825562436301371,-0.273473870190636,1.1368895349764632,0.8859542682092251,3.186375084964065,0.934561918166537,6.012923530859314,True,0.9016800883338828,0.1932833485563022,True,True,True,True,True,right_skewed
ENSG00000239906.1,ENSG00000239906,90,0.6111111111111112,True,,,False,,,,,,,,,,False,0.889298899467965,0.0442648870094121,False,True,True,False,False,zero_inflated
ENSG00000222623.1,RNU6-1100P,2,0.0,False,0.0,,False,,,,,76.59558884432916,2.0652765493365197,-37.29507656599796,1.6757531074090846,6.012923530859314,True,,,False,False,False,True,False,undetermined
ENSG00000241599.1,ENSG00000241599,8,1.0,True,,,False,,,,,,,,,,False,,,False,False,False,False,False,zero_inflated
ENSG00000308415.1,DDX11L2,535,0.9196261682242992,True,,,False,,,,,,,,,,False,0.9949794924207224,0.1712938373243952,True,False,True,False,False,zero_inflated
ENSG00000310527.1,WASH9P,670,0.0,False,1.0,0.0931905215945849,False,0.7126852739910376,0.7679843909655801,-0.0234748830424907,0.1277751629803827,1.5106692107254287,0.5171815616280255,3.253093854833161,0.7479537173815061,6.012923530859314,True,0.9140714974572522,0.1540302793145619,True,True,True,True,True,normal
ENSG00000308625.1,ENSG00000308625,134,0.2462686567164179,True,,,False,,,,,,,,,,False,0.8330345299327687,0.0659927055948882,True,True,True,False,False,zero_inflated
ENSG00000308544.1,ENSG00000308544,5,0.0,False,1.0,,False,,,,,-0.3408198262106183,0.1556702944090999,-0.556615091227928,2.3790481201072198,6.012923530859314,True,,,False,False,False,True,False,undetermined
ENSG00000292994.2,ENSG00000292994,665,0.2045112781954887,True,,,False,,,,,,,,,,False,0.9455552761728444,0.1607569781182785,True,True,True,False,False,zero_inflated
ENSG00000286448.2,ENSG00000286448,469,0.9509594882729212,True,,,False,,,,,,,,,,False,0.9392863930436712,0.0976482320672787,True,True,True,False,False,zero_inflated
ENSG00000236679.2,RPL23AP24,1,0.0,False,0.0,,False,,,,,,,,,6.012923530859314,False,,,False,False,False,True,False,undetermined
ENSG00000236601.3,ENSG00000236601,186,0.9946236559139784,True,,,False,,,,,,,,,,False,0.9401262310923746,0.0178951569475881,False,True,True,False,False,zero_inflated
ENSG00000290385.2,ENSG00000290385,670,0.053731343283582,False,1.0,0.002321030430079,True,0.0194476969752488,0.6795948698752454,0.2587309078541509,-0.14364070498568,-0.3112258957297963,0.275057950408613,3.0214349078245832,1.62152694172039,6.012923530859314,True,0.920958217421057,0.1797329960672299,True,True,True,True,True,right_skewed
ENSG00000269732.1,WBP1LP7,232,0.6379310344827587,True,,,False,,,,,,,,,,False,0.8949176856818084,0.0459192283163661,False,True,True,False,False,zero_inflated
ENSG00000284733.2,OR4F29,306,0.9607843137254902,True,,,False,,,,,,,,,,False,0.827081001852364,0.0373416399395903,False,True,True,False,False,zero_inflated
ENSG00000233653.3,CICP7,280,1.0,True,,,False,,,,,,,,,,False,0.927603057753621,0.0359194740014114,False,True,True,False,False,zero_inflated
ENSG00000250575.1,ENSG00000250575,389,0.922879177377892,True,,,False,,,,,,,,,,False,0.9958032825655456,0.200806117676324,True,False,True,False,False,zero_inflated
ENSG00000278757.1,U6,3,0.0,False,0.0,,False,,,,,-0.2519059920849625,0.1408306817869175,-0.6582830864075301,1.4770445595207633,6.012923530859314,True,,,False,False,False,True,False,undetermined
ENSG00000293331.2,ENSG00000293331,599,0.8898163606010017,True,,,False,,,,,,,,,,False,0.882380530402364,0.1963392112119792,True,True,True,False,False,zero_inflated
ENSG00000225880.7,LINC00115,670,0.0,False,1.0,0.0461679586906597,False,0.128196667830861,0.6743575743181509,-0.1447131170775613,-0.2398141440315311,0.72441568680314,0.3332534219880805,2.6220411730244013,5.363038561159385,6.012923530859314,True,0.8879783279587481,0.1627326867446552,True,True,True,True,True,non_normal
ENSG00000235146.3,ENSG00000235146,221,0.9547511312217196,True,,,False,,,,,,,,,,False,0.8847189659790382,0.03982536508017,False,True,True,False,False,zero_inflated
ENSG00000225972.1,MTND1P23,670,0.0,False,2.0,5.188173708160497e-36,True,1.4491095757600293e-71,97.16985414117858,2.398077943398613,4.610904587093533,2.7162269733708504,2.440192520672781,3.362215612998728,0.5093684779212708,6.012923530859314,True,0.968036256148532,0.0686606593079073,True,True,True,True,True,multimodal
ENSG00000225630.1,MTND2P28,670,0.0,False,1.0,1.0941387478353942e-34,True,1.4040464396097611e-106,59.23445769464138,-3.121439709933735,15.540131126397096,8.249067020961157,1.1095811662255688,2.3400239937610667,11.197477008455737,6.012923530859314,True,0.992635609527942,0.0452338355204346,False,True,True,True,False,right_truncated
ENSG00000237973.1,MTCO1P12,670,0.0,False,1.0,7.773067171021267e-31,True,4.625183335235512e-75,53.18781400676232,2.320419203038194,6.745756521994819,4.256747441611828,1.2798757002804582,4.760876263975378,0.0012912657762171,6.012923530859314,True,0.9857692415595511,0.0480449083284751,False,True,True,True,False,right_skewed
ENSG00000229344.1,MTCO2P12,670,0.0,False,1.0,7.57912888677903e-28,True,5.2592493839251485e-101,14.034473342255753,2.8308238409433413,16.337758610048,2.0941587188248327,0.90278330434602,7.269897253148404,2.4124346964526916e-10,6.012923530859314,True,0.9934010769168322,0.0785863261925513,True,True,True,True,True,right_skewed
ENSG00000240409.1,MTATP8P1,670,0.0,False,1.0,1.810081599315905e-07,True,1.1305380439842549e-08,1.5089337964634524,0.5168348725406817,0.7289209684188909,2.3530778199011744,1.165034471517422,4.38498916952756,0.0077664092309532,6.012923530859314,True,0.9239707777992672,0.1544546842709175,True,True,True,True,True,right_skewed
ENSG00000248527.1,MTATP6P1,670,0.0,False,1.0,3.3788560460544894e-37,True,7.3617146401156e-171,42.94083181574752,-5.661406931983533,48.33116275894224,10.103034342928051,0.7824518592173053,2.522512401387916,7.02656224223756,6.012923530859314,True,0.9935127244594824,0.0423015755051871,False,True,True,True,False,right_truncated
ENSG00000198744.5,MTCO3P12,670,0.0,False,1.0,4.6357475576100556e-24,True,4.901222448272861e-74,13.489759035811858,2.10999900956044,8.857520967543408,2.9423937936330127,1.0926695974403215,6.299398576991848,2.0019797375425696e-07,6.012923530859314,True,0.9781052240013596,0.0879000580060074,True,True,True,True,True,right_skewed
ENSG00000268663.1,WBP1LP6,221,0.7420814479638009,True,,,False,,,,,,,,,,False,0.884093572469447,0.0514783687443333,True,True,True,False,False,zero_inflated
ENSG00000284662.2,OR4F16,258,0.9728682170542636,True,,,False,,,,,,,,,,False,0.8663019353702748,0.0461105918243238,False,True,True,False,False,zero_inflated
