gene,genename,n_obs,frac_at_floor,is_zero_inflated,n_modes,shapiro_p,shapiro_bh_reject,dagostino_p,anderson_stat,skew,kurt,mle_mu,mle_sigma,mle_sigma_dist,d_aic,d_aic_threshold,mle_success,r_squared,sigma_span_ratio,sigma_span_ok,x0_in_range,n_obs_ok,support_ok,qc_pass,dist_class
ENSG00000290825.2,DDX11L16,265,0.9962264150943396,True,,,False,,,,,,,,,,False,0.9506369161693824,0.0235886554765511,False,True,True,False,False,zero_inflated
ENSG00000223972.6,DDX11L1,0,,False,,,False,,,,,,,,,,False,,,False,False,False,False,False,undetermined
ENSG00000310526.1,WASH7P,754,0.0,False,1.0,0.278568089068712,False,0.5034496705288383,0.5501264295176043,0.0799376877273806,0.1142714241874305,1.239674530617326,0.4973630988324244,3.2518716095753133,0.8452970997991542,6.2420801777409896,True,0.9071817297522552,0.1561491722042394,True,True,True,True,True,normal
ENSG00000243485.6,MIR1302-2HG,229,0.9868995633187772,True,,,False,,,,,,,,,,False,0.8959712209656913,0.0413532606185394,False,True,True,False,False,zero_inflated
ENSG00000237613.3,FAM138A,268,0.996268656716418,True,,,False,,,,,,,,,,False,0.9117562213575792,0.0261192720515139,False,True,True,False,False,zero_inflated
ENSG00000308361.1,ENSG00000308361,34,0.8823529411764706,True,,,False,,,,,,,,,,False,0.3873809952409284,0.1387964014748328,True,True,True,False,False,zero_inflated
ENSG00000290826.2,ENSG00000290826,283,0.92226148409894,True,,,False,,,,,,,,,,False,0.9044651200449124,0.0275626831939945,False,True,True,False,False,zero_inflated
ENSG00000268020.3,OR4G4P,346,0.9508670520231214,True,,,False,,,,,,,,,,False,0.8642479024976637,0.0303642254632899,False,True,True,False,False,zero_inflated
ENSG00000186092.7,OR4F5,650,0.9292307692307692,True,,,False,,,,,,,,,,False,0.989243845270113,0.0397456428166857,False,True,True,False,False,zero_inflated
ENSG00000241860.8,ENSG00000241860,754,0.9575596816976129,True,,,False,,,,,,,,,,False,0.9229302710003576,0.1311102330403287,True,True,True,False,False,zero_inflated
ENSG00000308314.1,ENSG00000308314,105,1.0,True,,,False,,,,,,,,,,False,0.6251874338354138,0.051280132678675,True,True,True,False,False,zero_inflated
ENSG00000233750.3,CICP27,571,0.9929947460595446,True,,,False,,,,,,,,,,False,0.965635912321698,0.1882440118141342,True,False,True,False,False,zero_inflated
ENSG00000308579.1,ENSG00000308579,754,0.0026525198938992,False,1.0,1.6954676118161815e-08,True,1.7496039702664184e-07,3.770453539574646,-0.5205182929600745,0.0573368103676905,2.25440684136481,1.0363242865840134,1.9548577411255736,29.75697004268386,6.2420801777409896,True,0.9285895210873888,0.1566303437774225,True,True,True,True,True,right_truncated
ENSG00000268903.1,ENSG00000268903,690,0.0826086956521739,False,1.0,5.713057938232228e-13,True,2.676803899907523e-09,6.39121996088079,0.6274452352609164,0.0240436700617374,-0.0216136865429108,0.5623525002707466,4.581269723544947,0.0031879479745384,6.2420801777409896,True,0.9310305101383686,0.2232437698091892,True,True,True,True,True,right_skewed
ENSG00000269981.1,ENSG00000269981,754,0.0013262599469496,False,1.0,1.2693934201753628e-08,True,4.26357433649903e-08,4.168177944290392,-0.5386276014106653,0.1725682560814263,2.533396714480605,1.0367135632562476,2.209177108145269,17.193183651056188,6.2420801777409896,True,0.9355528268366048,0.1392785998841311,True,True,True,True,True,right_truncated
ENSG00000239906.1,ENSG00000239906,132,0.7424242424242424,True,,,False,,,,,,,,,,False,0.9001308124378331,0.035021688173659,False,True,True,False,False,zero_inflated
ENSG00000222623.1,RNU6-1100P,8,0.0,False,1.0,,False,,,,,-0.2917890215415662,0.2885843219238065,1.8196160079975043,0.4105261457237841,6.2420801777409896,True,,,False,False,False,True,False,undetermined
ENSG00000241599.1,ENSG00000241599,18,0.8888888888888888,True,,,False,,,,,,,,,,False,0.1586564383966481,0.0473611008981173,False,True,False,False,False,zero_inflated
ENSG00000308415.1,DDX11L2,608,0.950657894736842,True,,,False,,,,,,,,,,False,0.9926002033307166,0.0291235915215544,False,True,True,False,False,zero_inflated
ENSG00000310527.1,WASH9P,754,0.0,False,1.0,0.0145365642531924,True,0.0375515087605203,0.8761015552047411,-0.1465318401054929,-0.3110607451015785,1.1743606778905589,0.4959720448813662,2.6402052463005496,5.738081547809088,6.2420801777409896,True,0.9039746348002116,0.1818235419112104,True,True,True,True,True,non_normal
ENSG00000308625.1,ENSG00000308625,151,0.4834437086092715,True,,,False,,,,,,,,,,False,0.9659907655402136,0.0544273268107021,True,True,True,False,False,zero_inflated
ENSG00000308544.1,ENSG00000308544,13,0.0,False,1.0,,False,,,,,-0.5315693265965284,0.1502738963938448,2.508468974364648,0.1415051618658012,6.2420801777409896,True,,,False,False,False,True,False,undetermined
ENSG00000292994.2,ENSG00000292994,751,0.3422103861517976,True,,,False,,,,,,,,,,False,0.9675384789195476,0.1611286874305552,True,True,True,False,False,zero_inflated
ENSG00000286448.2,ENSG00000286448,625,0.8,True,,,False,,,,,,,,,,False,0.9669212205391308,0.8208359689399586,True,False,True,False,False,zero_inflated
ENSG00000236679.2,RPL23AP24,0,,False,,,False,,,,,,,,,,False,,,False,False,False,False,False,undetermined
ENSG00000236601.3,ENSG00000236601,292,0.9726027397260274,True,,,False,,,,,,,,,,False,0.951259124578102,0.0193148988283375,False,True,True,False,False,zero_inflated
ENSG00000290385.2,ENSG00000290385,754,0.0795755968169761,False,1.0,1.6024897902844122e-09,True,7.534411143848167e-10,3.931478196861235,0.5987534260953308,0.2830537721792101,-0.4384577561046575,0.2423895244548544,3.818304435201621,0.1008561192997739,6.2420801777409896,True,0.9209791898398578,0.1486960817615291,True,True,True,True,True,right_skewed
ENSG00000269732.1,WBP1LP7,341,0.6480938416422287,True,,,False,,,,,,,,,,False,0.9134920314974666,0.0343291469278469,False,True,True,False,False,zero_inflated
ENSG00000284733.2,OR4F29,410,0.948780487804878,True,,,False,,,,,,,,,,False,0.9165105721890888,0.0163990926903799,False,True,True,False,False,zero_inflated
ENSG00000233653.3,CICP7,310,1.0,True,,,False,,,,,,,,,,False,0.913775103800052,0.030764780822868,False,True,True,False,False,zero_inflated
ENSG00000250575.1,ENSG00000250575,446,0.9506726457399104,True,,,False,,,,,,,,,,False,0.9998991810108174,0.1239305420351246,True,False,True,False,False,zero_inflated
ENSG00000278757.1,U6,29,0.0344827586206896,False,1.0,0.8968151753505373,False,0.5893328944608685,0.2030118843185882,0.3408921461444392,0.0228124532572406,-0.4937451686089711,0.1432932165840458,2.2800646218360585,0.5601834192304196,6.2420801777409896,True,0.2512125135771855,0.1394600399435272,True,True,False,True,False,right_skewed
ENSG00000293331.2,ENSG00000293331,572,0.9895104895104896,True,,,False,,,,,,,,,,False,0.9595689197523316,0.1845328630909801,True,True,True,False,False,zero_inflated
ENSG00000225880.7,LINC00115,754,0.0,False,1.0,0.0640941969637356,False,0.0505873453334042,0.7321453463251828,0.0314331442440391,0.495949886405326,0.3892676515705597,0.3057799948582664,3.664893450851245,0.1852209937509314,6.2420801777409896,True,0.9700827931496444,0.1262199023367106,True,True,True,True,True,normal
ENSG00000235146.3,ENSG00000235146,248,0.967741935483871,True,,,False,,,,,,,,,,False,0.936065877948526,0.0245754130986737,False,True,True,False,False,zero_inflated
ENSG00000225972.1,MTND1P23,754,0.0,False,2.0,6.402856314965368e-38,True,3.500030085640705e-88,105.37350441506464,2.576960146182109,5.771712923135501,2.9206912102150397,2.33655186569097,3.696633320898596,0.1636471028791675,6.2420801777409896,True,0.9807506920457962,0.0582233966034352,True,True,True,True,True,multimodal
ENSG00000225630.1,MTND2P28,754,0.0,False,1.0,1.8903806958786414e-33,True,1.8164228000445656e-112,45.071442019378765,-2.8754768196952027,15.062133440456863,8.182041243594448,1.0455724300778495,2.521334026236587,7.932301858758365,6.2420801777409896,True,0.975466731230494,0.0472199652024531,False,True,True,True,False,right_truncated
ENSG00000237973.1,MTCO1P12,754,0.0,False,1.0,8.516293721076564e-35,True,1.079329067764279e-98,67.54516042707974,2.735865586636067,8.478995079092028,5.125232118725629,1.1608788423657384,5.119992146427637,0.0002303765149918,6.2420801777409896,True,0.9720324598832272,0.055425371345285,True,True,True,True,True,right_skewed
ENSG00000229344.1,MTCO2P12,754,0.0,False,1.0,6.058318612877891e-31,True,2.9005144390891454e-122,20.353124978207237,3.127238054921861,18.39227884832008,2.395897786179851,0.9738852186929112,7.316859347128332,1.9190338207408783e-10,6.2420801777409896,True,0.97878390024367,0.0747970696200127,True,True,True,True,True,right_skewed
ENSG00000240409.1,MTATP8P1,754,0.0,False,1.0,3.18240254752051e-07,True,1.4814560274655032e-08,1.065999507785932,0.4674761371703766,0.7377843266033133,2.5199744635195214,1.1115887698443123,4.720027902007702,0.001777718303856,6.2420801777409896,True,0.9585560654337112,0.1484912838557577,True,True,True,True,True,right_skewed
ENSG00000248527.1,MTATP6P1,754,0.0,False,1.0,1.8434230914997945e-39,True,4.0143763760665283e-199,49.09303988570832,-6.020589536691457,54.83382109553462,10.322562832941191,0.7953693852407266,1.9133910175565567,32.31998294946993,6.2420801777409896,True,0.9933809394905344,0.0411119534877227,False,True,True,True,False,right_truncated
