gene,genename,n_obs,frac_at_floor,is_zero_inflated,n_modes,shapiro_p,shapiro_bh_reject,dagostino_p,anderson_stat,skew,kurt,mle_mu,mle_sigma,mle_sigma_dist,d_aic,d_aic_threshold,mle_success,r_squared,sigma_span_ratio,sigma_span_ok,x0_in_range,n_obs_ok,support_ok,qc_pass,dist_class
ENSG00000290825.2,DDX11L16,245,0.9959183673469388,True,,,False,,,,,,,,,,False,0.915301186463118,0.0322733463049852,False,True,True,False,False,zero_inflated
ENSG00000223972.6,DDX11L1,0,,False,,,False,,,,,,,,,,False,,,False,False,False,False,False,undetermined
ENSG00000310526.1,WASH7P,684,0.0,False,1.0,0.0012234901437302,True,0.0007694594861568,1.180844720268624,0.3411296719928299,0.2210718679724816,1.359918775739941,0.5198224481513399,3.9066599574615775,0.0637893877947135,6.134444623503361,True,0.9408963681132548,0.1384562096138022,True,True,True,True,True,right_skewed
ENSG00000243485.6,MIR1302-2HG,242,0.9586776859504132,True,,,False,,,,,,,,,,False,0.933454255666926,0.0401592230728081,False,True,True,False,False,zero_inflated
ENSG00000237613.3,FAM138A,221,0.990950226244344,True,,,False,,,,,,,,,,False,0.9509126721205516,0.0298164774085957,False,True,True,False,False,zero_inflated
ENSG00000308361.1,ENSG00000308361,29,0.7931034482758621,True,,,False,,,,,,,,,,False,0.4726967000743821,0.0060056644563483,False,True,False,False,False,zero_inflated
ENSG00000290826.2,ENSG00000290826,231,0.8874458874458875,True,,,False,,,,,,,,,,False,0.9183609355459804,0.0424574048150025,False,True,True,False,False,zero_inflated
ENSG00000268020.3,OR4G4P,277,0.9422382671480144,True,,,False,,,,,,,,,,False,0.9095121382856904,0.0318266553483733,False,True,True,False,False,zero_inflated
ENSG00000186092.7,OR4F5,576,0.9270833333333334,True,,,False,,,,,,,,,,False,0.9896076344896232,0.1179677357377148,True,False,True,False,False,zero_inflated
ENSG00000241860.8,ENSG00000241860,684,0.8801169590643275,True,,,False,,,,,,,,,,False,0.9186499914555812,0.1068036266305152,True,True,True,False,False,zero_inflated
ENSG00000308314.1,ENSG00000308314,53,1.0,True,,,False,,,,,,,,,,False,0.6991092155239224,0.084375971562787,True,True,True,False,False,zero_inflated
ENSG00000233750.3,CICP27,583,0.888507718696398,True,,,False,,,,,,,,,,False,0.857657798555504,0.2588973987440409,True,True,True,False,False,zero_inflated
ENSG00000308579.1,ENSG00000308579,684,0.0,False,1.0,1.2388229528579757e-06,True,2.4979560591741043e-05,2.751302536192952,-0.3756974729475912,-0.3798054359946974,3.00307131682388,1.1767301067351816,2.003084004332912,24.46291425039135,6.134444623503361,True,0.8753108680070923,0.2022499334481364,True,True,True,True,True,right_truncated
ENSG00000268903.1,ENSG00000268903,645,0.0480620155038759,False,1.0,1.4578459911248785e-12,True,1.4571629402461109e-10,5.367904956483471,0.6919280917198468,0.2453935537182747,0.3230850626952329,0.7761997907869597,3.875923722423555,0.0682528880477093,6.134444623503361,True,0.9497247095421038,0.269369565407986,True,True,True,True,True,right_skewed
ENSG00000269981.1,ENSG00000269981,684,0.0014619883040935,False,1.0,2.2451081453999525e-08,True,2.783552570755741e-07,3.503355544466558,-0.5410533846699347,0.0220575167303258,3.1369326144272733,1.153414142852456,2.0758878302404296,20.98089945345714,6.134444623503361,True,0.888462036975265,0.1640959406750808,True,True,True,True,True,right_truncated
ENSG00000239906.1,ENSG00000239906,140,0.6071428571428571,True,,,False,,,,,,,,,,False,0.890751917945932,0.0713109446932082,True,True,True,False,False,zero_inflated
ENSG00000222623.1,RNU6-1100P,9,0.0,False,1.0,,False,,,,,-0.0430458685117335,0.3516775476101747,0.4498978659099431,2.5357295365931884,6.134444623503361,True,,,False,False,False,True,False,undetermined
ENSG00000241599.1,ENSG00000241599,10,0.7,True,,,False,,,,,,,,,,False,,,False,False,False,False,False,zero_inflated
ENSG00000308415.1,DDX11L2,540,0.901851851851852,True,,,False,,,,,,,,,,False,0.9977645526212056,0.0559833430544192,True,False,True,False,False,zero_inflated
ENSG00000310527.1,WASH9P,684,0.0,False,1.0,0.3901087530450011,False,0.1730468762923762,0.3524551716407131,-0.053556727775161,-0.3012964726579654,1.4743006789291848,0.5324466506246233,2.692619694563473,4.489824072869169,6.134444623503361,True,0.936364274783815,0.1858059270973537,True,True,True,True,True,normal
ENSG00000308625.1,ENSG00000308625,235,0.2851063829787234,True,,,False,,,,,,,,,,False,0.9370507393374836,0.061851139146751,True,True,True,False,False,zero_inflated
ENSG00000308544.1,ENSG00000308544,12,0.0,False,1.0,,False,,,,,-0.4792840224236638,0.1190208805476703,2.0105545468338897,0.4225798101611708,6.134444623503361,True,0.1354903017787427,0.08055261665298,True,True,False,True,False,undetermined
ENSG00000292994.2,ENSG00000292994,682,0.5483870967741935,True,,,False,,,,,,,,,,False,0.9362812561300567,0.1528020180333149,True,True,True,False,False,zero_inflated
ENSG00000286448.2,ENSG00000286448,378,0.992063492063492,True,,,False,,,,,,,,,,False,0.9457259814116806,0.0699447139104688,True,True,True,False,False,zero_inflated
