gene,r_squared
ENSG00000290825.2,
ENSG00000223972.6,
ENSG00000310526.1,0.39188809266098423
ENSG00000243485.6,
ENSG00000237613.3,
ENSG00000308361.1,
ENSG00000290826.2,
ENSG00000268020.3,
ENSG00000186092.7,0.44882301930784896
ENSG00000241860.8,0.06488295806512279
ENSG00000308314.1,
ENSG00000233750.3,0.34749854668940994
ENSG00000308579.1,0.08341168986597003
ENSG00000268903.1,0.0972391479004443
ENSG00000269981.1,0.06852942866006828
ENSG00000239906.1,
ENSG00000222623.1,
ENSG00000241599.1,
ENSG00000308415.1,0.26402626551981934
ENSG00000310527.1,0.25958958773548113
ENSG00000308625.1,
ENSG00000308544.1,
ENSG00000292994.2,0.31583482616325287
ENSG00000286448.2,0.04244021381257379
ENSG00000236679.2,
ENSG00000236601.3,
ENSG00000290385.2,0.36507467253003845
ENSG00000269732.1,
ENSG00000284733.2,
ENSG00000233653.3,0.16295880570069332
ENSG00000250575.1,0.08671237333261317
ENSG00000278757.1,
ENSG00000293331.2,0.12977395208737696
ENSG00000225880.7,0.10572976359945696
ENSG00000235146.3,
ENSG00000225972.1,0.6401326366385374
ENSG00000225630.1,0.6245972943640788
ENSG00000237973.1,0.6593693902976323
ENSG00000229344.1,0.2604471883579098
ENSG00000240409.1,-9.242915322005274e-10
ENSG00000248527.1,0.7611845153465796
ENSG00000198744.5,0.6605904591468665
ENSG00000268663.1,
ENSG00000284662.2,
ENSG00000230021.11,
ENSG00000229376.3,0.319046889178514
ENSG00000223181.1,
ENSG00000229905.1,
ENSG00000237491.11,0.0996820917613136
ENSG00000177757.3,0.21680527950816664
ENSG00000228794.13,0.002704404437214425
ENSG00000297178.1,0.0
ENSG00000297224.1,0.28657053555372614
ENSG00000230368.3,0.8776519536936009
ENSG00000234711.1,0.3606947966765799
ENSG00000283040.1,
ENSG00000296088.1,
ENSG00000272438.2,0.500778099324976
ENSG00000298603.1,
ENSG00000223764.3,0.161223243106153
ENSG00000187634.13,0.2749324208210987
ENSG00000188976.11,0.46418253135218823
ENSG00000187961.15,0.09241153676089997
ENSG00000187583.11,0.35043984208010137
ENSG00000187642.10,0.38291132291584096
ENSG00000303599.1,0.09373784590225875
ENSG00000272512.1,0.19660677646706048
ENSG00000188290.11,0.11696110265850779
ENSG00000303623.1,0.1152112854697156
ENSG00000187608.10,0.24475733264856991
ENSG00000303614.1,0.17261418673060602
ENSG00000231702.2,0.7901000719771012
ENSG00000224969.1,0.11782505875688254
ENSG00000188157.16,0.46079721499213855
ENSG00000291156.2,0.1683935858081601
ENSG00000273443.2,0.14307596509906795
ENSG00000217801.13,0.30493411249971825
ENSG00000304119.1,0.324318601466579
ENSG00000304169.1,0.5879461945705694
ENSG00000237330.3,0.7350145433159068
ENSG00000131591.18,0.5352743058568565
ENSG00000285812.1,0.24635581133205986
ENSG00000299943.1,0.25855044223947343
ENSG00000223823.1,0.4400706547853692
ENSG00000304965.1,0.35927690921921973
ENSG00000207730.3,
ENSG00000207607.3,
ENSG00000198976.1,
ENSG00000272141.1,0.1995841995841996
ENSG00000205231.1,0.46913667359840183
ENSG00000162571.14,0.644981742330917
ENSG00000186891.14,0.019735697741928404
ENSG00000186827.12,0.18091792224254588
ENSG00000304412.1,
ENSG00000078808.20,0.062749654052621
ENSG00000176022.7,0.07409257797108726
ENSG00000184163.3,0.4470351612492962
ENSG00000260179.1,0.4772402687316948
ENSG00000160087.21,0.06682000605184879
ENSG00000230415.2,0.1337623343396549
ENSG00000162572.21,0.08383620804358616
ENSG00000131584.19,0.33563330912172074
ENSG00000278073.1,
ENSG00000169972.13,0.31256698085937673
ENSG00000127054.22,0.13787861501524024
ENSG00000283712.1,
ENSG00000240731.1,0.15438567733994346
ENSG00000224051.7,0.07600440054884816
ENSG00000169962.5,0.214046822742475
ENSG00000107404.21,0.33998237589345925
ENSG00000284372.1,
ENSG00000304860.1,0.4477122539422723
ENSG00000162576.17,0.221967884694945
ENSG00000175756.14,0.3123857461762688
ENSG00000223663.2,0.20584314885028332
ENSG00000221978.13,0.551809160570909
ENSG00000224870.10,0.10697082108322498
ENSG00000242485.6,0.3432202681370331
ENSG00000301639.1,0.4047038696787627
ENSG00000272455.1,0.3083985345084651
ENSG00000235098.9,0.11057410889994113
ENSG00000225905.2,0.11559823516697065
ENSG00000205116.4,0.22154921380188008
ENSG00000225285.2,0.11005149765654298
ENSG00000179403.12,0.16854408389000353
ENSG00000215915.10,0.06076130929470713
ENSG00000160072.20,0.4066584250544065
ENSG00000290916.2,0.22935787823109244
ENSG00000197785.14,0.36117310119813584
ENSG00000205090.10,0.156060318857848
ENSG00000299413.1,
ENSG00000160075.12,0.018556060951536724
ENSG00000215014.5,0.3271803039797694
ENSG00000274481.1,
ENSG00000228594.4,0.06791406791406784
ENSG00000286989.2,0.5151102663566126
ENSG00000272106.1,0.26969906958534096
ENSG00000197530.13,0.08518035636679688
ENSG00000189409.14,0.06725176631807983
ENSG00000248333.9,0.010667489227496496
ENSG00000272004.2,0.29639693799321176
ENSG00000189339.12,0.0997756720354187
ENSG00000293187.1,0.17523918581768616
ENSG00000269737.3,0.12849221731644223
ENSG00000310190.1,0.28992793269248296
ENSG00000310238.1,0.45213905609735383
ENSG00000008128.23,0.2494040006360102
ENSG00000293188.2,0.09240769424948891
ENSG00000290854.2,0.11765569355041161
ENSG00000227775.4,
ENSG00000008130.15,0.0352748336079719
ENSG00000302550.1,0.1756740778845075
ENSG00000078369.19,0.289481447165294
ENSG00000231050.4,0.2903894442007622
ENSG00000303984.1,
ENSG00000294910.1,0.38270930928497293
ENSG00000306476.1,0.1704734607575269
ENSG00000169885.10,0.11889602824613776
