gene,genename,n_obs,frac_at_floor,is_zero_inflated,n_modes,shapiro_p,shapiro_bh_reject,dagostino_p,anderson_stat,skew,kurt,mle_mu,mle_sigma,mle_sigma_dist,d_aic,d_aic_threshold,mle_success,r_squared,sigma_span_ratio,sigma_span_ok,x0_in_range,n_obs_ok,support_ok,qc_pass,dist_class
ENSG00000290825.2,DDX11L16,670,1.0,True,,,False,,,,,,,,,,False,0.9908914743249536,0.003786639803705,False,True,True,False,False,zero_inflated
ENSG00000223972.6,DDX11L1,670,1.0,True,,,False,,,,,,,,,,False,1.0,,False,False,True,False,False,zero_inflated
ENSG00000310526.1,WASH7P,670,0.0,False,1.0,0.6228330409643409,False,0.5760728007224856,0.2327633041574017,0.0735634804053902,-0.1448990095797611,1.4006454614351078,0.5271095495352055,2.9360125922397837,2.1256409250122488,6.012923530859314,True,0.9089572080615892,0.1783315940737375,True,True,True,True,True,normal
ENSG00000243485.6,MIR1302-2HG,670,0.9955223880597016,True,,,False,,,,,,,,,,False,0.9865509607903532,0.0029938653134836,False,True,True,False,False,zero_inflated
ENSG00000237613.3,FAM138A,670,1.0,True,,,False,,,,,,,,,,False,0.9823460684247172,0.0085636951780826,False,True,True,False,False,zero_inflated
ENSG00000308361.1,ENSG00000308361,670,0.9985074626865672,True,,,False,,,,,,,,,,False,0.9999451871051231,0.0011663277959222,False,True,True,False,False,zero_inflated
ENSG00000290826.2,ENSG00000290826,670,0.9761194029850746,True,,,False,,,,,,,,,,False,0.9882034287957788,0.0015048751530455,False,True,True,False,False,zero_inflated
ENSG00000268020.3,OR4G4P,670,0.9850746268656716,True,,,False,,,,,,,,,,False,0.9717815834414892,0.0076244135058371,False,True,True,False,False,zero_inflated
ENSG00000186092.7,OR4F5,670,0.9432835820895522,True,,,False,,,,,,,,,,False,0.9988935768505804,0.3056503111010919,True,False,True,False,False,zero_inflated
ENSG00000241860.8,ENSG00000241860,670,0.835820895522388,True,,,False,,,,,,,,,,False,0.9313457144860852,0.1485397843583959,True,True,True,False,False,zero_inflated
ENSG00000308314.1,ENSG00000308314,670,1.0,True,,,False,,,,,,,,,,False,0.9994105852942204,0.0016313915152169,False,True,True,False,False,zero_inflated
ENSG00000233750.3,CICP27,670,0.9970149253731344,True,,,False,,,,,,,,,,False,0.8700015949344674,0.0445304750550187,False,False,True,False,False,zero_inflated
ENSG00000308579.1,ENSG00000308579,670,0.0074626865671641,False,1.0,0.0152580556076446,True,0.0447897773972398,0.5354095148061333,0.2311678793766266,-0.1149268527054259,1.0832748297525192,0.8699825711942629,3.320333112849247,0.5911629089462167,6.012923530859314,True,0.9220105026353744,0.1814085745187119,True,True,True,True,True,right_skewed
ENSG00000268903.1,ENSG00000268903,670,0.4298507462686567,True,,,False,,,,,,,,,,False,0.7912367627874206,0.0001586896048124,False,True,True,False,False,zero_inflated
ENSG00000269981.1,ENSG00000269981,670,0.0119402985074626,False,1.0,0.116043186232992,False,0.1483045312976827,0.3255802454999639,0.1356320458509785,-0.2394691514165945,1.1244184649251898,0.8989508660802352,3.154180927656665,1.048111131643509,6.012923530859314,True,0.8921544507791574,0.1821852347351658,True,True,True,True,True,normal
ENSG00000239906.1,ENSG00000239906,670,0.9477611940298508,True,,,False,,,,,,,,,,False,0.9973630051838028,0.0030627751833015,False,True,True,False,False,zero_inflated
ENSG00000222623.1,RNU6-1100P,670,0.9970149253731344,True,,,False,,,,,,,,,,False,0.9983523857743318,0.008241631367438,False,True,True,False,False,zero_inflated
