gene,genename,n_obs,frac_at_floor,is_zero_inflated,n_modes,shapiro_p,shapiro_bh_reject,dagostino_p,anderson_stat,skew,kurt,mle_mu,mle_sigma,mle_sigma_dist,d_aic,d_aic_threshold,mle_success,r_squared,sigma_span_ratio,sigma_span_ok,x0_in_range,n_obs_ok,support_ok,qc_pass,dist_class
ENSG00000290825.2,DDX11L16,614,0.998371335504886,True,,,False,,,,,,,,,,False,0.9548491146923982,0.0670103053959642,True,False,True,False,False,zero_inflated
ENSG00000223972.6,DDX11L1,614,0.998371335504886,True,,,False,,,,,,,,,,False,0.9963754220851724,0.0079308587408878,False,True,True,False,False,zero_inflated
ENSG00000310526.1,WASH7P,614,0.0,False,1.0,3.077120772012616e-06,True,3.5549537920405643e-06,2.5901792672069632,0.4943677833715489,0.2831502680699,0.7222030768935719,0.5290046357852614,3.445135199204628,0.3457434734194748,6.384126719151844,True,0.8918766803266163,0.1480375476416367,True,True,True,True,True,right_skewed
ENSG00000243485.6,MIR1302-2HG,614,0.998371335504886,True,,,False,,,,,,,,,,False,0.9874233167740456,0.0036668670956163,False,True,True,False,False,zero_inflated
ENSG00000237613.3,FAM138A,614,0.998371335504886,True,,,False,,,,,,,,,,False,0.955438761809004,0.0492643786720453,False,False,True,False,False,zero_inflated
ENSG00000308361.1,ENSG00000308361,614,0.996742671009772,True,,,False,,,,,,,,,,False,0.992497786562096,0.0084943694257154,False,True,True,False,False,zero_inflated
ENSG00000290826.2,ENSG00000290826,614,0.985342019543974,True,,,False,,,,,,,,,,False,0.9579262355737548,0.0093775670173027,False,True,True,False,False,zero_inflated
ENSG00000268020.3,OR4G4P,614,0.98371335504886,True,,,False,,,,,,,,,,False,0.9519409095501452,0.0014674155839561,False,True,True,False,False,zero_inflated
ENSG00000186092.7,OR4F5,614,0.978827361563518,True,,,False,,,,,,,,,,False,0.9961025206940975,0.2047703291104368,True,False,True,False,False,zero_inflated
ENSG00000241860.8,ENSG00000241860,614,0.9250814332247556,True,,,False,,,,,,,,,,False,0.9056820030699282,0.1362302604061225,True,True,True,False,False,zero_inflated
ENSG00000308314.1,ENSG00000308314,614,1.0,True,,,False,,,,,,,,,,False,0.9997364916354974,0.0026488116481425,False,True,True,False,False,zero_inflated
ENSG00000233750.3,CICP27,614,0.6954397394136808,True,,,False,,,,,,,,,,False,0.9461535437583756,0.2330496118898024,True,True,True,False,False,zero_inflated
ENSG00000308579.1,ENSG00000308579,614,0.0,False,1.0,0.004688933855716,True,0.0030891480790656,1.0762062884550687,-0.3201018347027514,0.2150228515533534,3.71108756201662,1.11071407209643,2.4731607844874675,7.331574693555922,6.384126719151844,True,0.9073001047491476,0.1511851056578082,True,True,True,True,True,right_truncated
ENSG00000268903.1,ENSG00000268903,614,0.0342019543973941,False,1.0,4.072267091211053e-07,True,2.5796062916740325e-05,2.293375161254062,0.4709407508672226,-0.0566699454440748,0.6471606924163867,0.873220337560735,3.3227133594160856,0.5372129333195517,6.384126719151844,True,0.8693613654964893,0.2009869047276386,True,True,True,True,True,right_skewed
ENSG00000269981.1,ENSG00000269981,614,0.0,False,1.0,7.141981640073439e-09,True,1.483801326630398e-09,4.353262610944057,-0.6377419438853057,0.4673914932842598,3.713492423247199,1.1969915595166758,2.264291511535528,12.312546608125103,6.384126719151844,True,0.9398088931895578,0.1309312842580862,True,True,True,True,True,right_truncated
ENSG00000239906.1,ENSG00000239906,614,0.9413680781758956,True,,,False,,,,,,,,,,False,0.9931453768044142,0.0073082804418829,False,True,True,False,False,zero_inflated
ENSG00000222623.1,RNU6-1100P,614,0.980456026058632,True,,,False,,,,,,,,,,False,0.9999481370105632,0.003280009983831,False,True,True,False,False,zero_inflated
ENSG00000241599.1,ENSG00000241599,614,0.988599348534202,True,,,False,,,,,,,,,,False,0.9998585380726108,0.0023775029550932,False,True,True,False,False,zero_inflated
ENSG00000308415.1,DDX11L2,614,0.9625407166123778,True,,,False,,,,,,,,,,False,0.998193859821974,0.2716645775472826,True,False,True,False,False,zero_inflated
ENSG00000310527.1,WASH9P,614,0.0,False,1.0,7.19944417623277e-07,True,2.4320282400741214e-05,3.558784787682498,0.4719391459541315,0.0199043788967525,0.7289228572707489,0.52810341289212,3.532056806432633,0.2504955400953577,6.384126719151844,True,0.8691658795190935,0.1487713170607071,True,True,True,True,True,right_skewed
ENSG00000308625.1,ENSG00000308625,614,0.9234527687296415,True,,,False,,,,,,,,,,False,0.9968095082874062,0.0033682259233279,False,True,True,False,False,zero_inflated
ENSG00000308544.1,ENSG00000308544,614,0.990228013029316,True,,,False,,,,,,,,,,False,0.9999859070308604,0.0029616854001188,False,True,True,False,False,zero_inflated
ENSG00000292994.2,ENSG00000292994,614,0.8990228013029316,True,,,False,,,,,,,,,,False,0.913069688476112,0.1144264852526016,True,True,True,False,False,zero_inflated
