gene,genename,n_obs,frac_at_floor,is_zero_inflated,n_modes,shapiro_p,shapiro_bh_reject,dagostino_p,anderson_stat,skew,kurt,mle_mu,mle_sigma,mle_sigma_dist,d_aic,d_aic_threshold,mle_success,r_squared,sigma_span_ratio,sigma_span_ok,x0_in_range,n_obs_ok,support_ok,qc_pass,dist_class
ENSG00000290825.2,DDX11L16,691,1.0,True,,,False,,,,,,,,,,False,0.9906626497612964,0.007851125759943,False,True,True,False,False,zero_inflated
ENSG00000223972.6,DDX11L1,691,1.0,True,,,False,,,,,,,,,,False,1.0,,False,False,True,False,False,zero_inflated
ENSG00000310526.1,WASH7P,691,0.0,False,1.0,0.0134925074464288,True,0.0155094779173456,0.907900719248346,0.2625851030529963,-0.1417462300170808,0.4480918993356558,0.4304265169790822,3.1816865139460613,0.9851796702289448,6.136262436968911,True,0.9442415690767788,0.1756502226184585,True,True,True,True,True,right_skewed
ENSG00000243485.6,MIR1302-2HG,691,1.0,True,,,False,,,,,,,,,,False,0.9945185020608444,0.0088627918340685,False,True,True,False,False,zero_inflated
ENSG00000237613.3,FAM138A,691,1.0,True,,,False,,,,,,,,,,False,0.9807007307226911,0.0105362339727444,False,True,True,False,False,zero_inflated
ENSG00000308361.1,ENSG00000308361,691,0.9927641099855282,True,,,False,,,,,,,,,,False,0.9999282446132672,0.0034438742227655,False,True,True,False,False,zero_inflated
ENSG00000290826.2,ENSG00000290826,691,0.9797395079594792,True,,,False,,,,,,,,,,False,0.9835295780873028,0.007865186019074,False,True,True,False,False,zero_inflated
ENSG00000268020.3,OR4G4P,691,0.9811866859623734,True,,,False,,,,,,,,,,False,0.9792737206712544,0.0019333112219394,False,True,True,False,False,zero_inflated
ENSG00000186092.7,OR4F5,691,0.9464544138929089,True,,,False,,,,,,,,,,False,0.9979294612799904,0.2228950905781358,True,False,True,False,False,zero_inflated
ENSG00000241860.8,ENSG00000241860,691,0.9855282199710564,True,,,False,,,,,,,,,,False,0.9369434651335462,0.1442710347827983,True,True,True,False,False,zero_inflated
ENSG00000308314.1,ENSG00000308314,691,1.0,True,,,False,,,,,,,,,,False,0.9999274785483148,0.0030507416458549,False,True,True,False,False,zero_inflated
ENSG00000233750.3,CICP27,691,0.9985528219971056,True,,,False,,,,,,,,,,False,0.9247586589354012,0.0032231279736444,False,True,True,False,False,zero_inflated
ENSG00000308579.1,ENSG00000308579,691,0.0506512301013024,False,1.0,6.553491855309457e-08,True,1.7500145195611856e-06,2.773280573063857,0.3158207860704325,-0.5393879436286215,0.7339787478810151,0.9870059599326232,2.801704981146158,3.301275411587085,6.136262436968911,True,0.8439127017734942,0.2980882235763828,True,True,True,True,True,right_skewed
